word,count,mean_rating,intrinsic_polarity,category
surprised,196,4.862244897959184,0.225,SURPRISE
county,44,4.909090909090909,0.0,TRUST
law,53,4.830188679245283,0.0,TRUST
provide,242,4.723140495867769,0.0,TRUST
awful,15,2.2,-0.5,SADNESS
risk,38,4.5,-0.275,ANTICIPATION
thought,519,4.728323699421965,0.0,ANTICIPATION
overpriced,18,3.6666666666666665,0.0,SADNESS
share,193,4.922279792746114,0.3,JOY
fortunate,233,4.957081545064377,0.475,CATE
level,153,4.830065359477124,0.0,TRUST
blast,185,4.967567567567568,0.0,SURPRISE
planning,168,4.880952380952381,0.0,TRUST
personable,418,4.9688995215311005,0.0,CATE
absolute,263,4.935361216730038,0.0,CATE
hurry,15,3.8666666666666667,0.0,ANTICIPATION
base,368,4.880434782608695,0.0,TRUST
clean,237,4.89873417721519,0.425,JOY
quiet,161,4.913043478260869,0.0,SADNESS
hope,162,4.7407407407407405,0.475,JOY
timely,29,4.793103448275862,0.0,CATE
rob,16,5.0,-0.65,SADNESS
passenger,353,4.824362606232294,0.0,ANTICIPATION
friend,241,4.937759336099585,0.55,JOY
worry,105,4.942857142857143,-0.475,SADNESS
confident,110,4.945454545454545,0.55,JOY
highest,81,4.888888888888889,0.0,JOY
expect,204,4.769607843137255,0.0,TRUST
delayed,74,4.445945945945946,-0.225,CATE
expected,282,4.75177304964539,0.0,ANTICIPATION
gem,23,4.956521739130435,0.0,JOY
cold,170,4.847058823529411,0.0,CATE
major,120,4.85,0.0,CATE
fearful,22,4.818181818181818,-0.55,SADNESS
sick,240,4.758333333333334,-0.575,SADNESS
sweet,99,4.91919191919192,0.5,JOY
delay,58,3.9827586206896552,-0.325,SADNESS
wont,33,4.757575757575758,0.0,ANTICIPATION
afraid,144,4.972222222222222,0.0,FEAR
personal,544,4.9338235294117645,0.0,TRUST
older,47,4.76595744680851,0.0,SADNESS
surprise,196,4.86734693877551,0.275,JOY
hearing,54,4.7592592592592595,0.0,FEAR
treat,205,4.878048780487805,0.425,JOY
real,266,4.864661654135339,0.0,TRUST
true,248,4.903225806451613,0.45,JOY
superb,225,4.946666666666666,0.775,CATE
treasure,54,5.0,0.3,JOY
pleased,132,4.924242424242424,0.475,JOY
completely,326,4.751533742331288,0.0,CATE
unsafe,35,4.6571428571428575,0.0,FEAR
fixed,196,4.846938775510204,0.0,TRUST
ill,23,4.217391304347826,-0.45,SADNESS
turbulent,31,4.645161290322581,0.0,FEAR
majority,31,4.32258064516129,0.0,JOY
confirmed,35,3.9714285714285715,0.0,TRUST
unable,112,4.464285714285714,0.0,SADNESS
skeptical,22,4.818181818181818,-0.325,CATE
disappointing,75,2.8133333333333335,-0.55,SADNESS
worse,31,3.7096774193548385,-0.525,SADNESS
shoulder,16,4.5625,0.0,TRUST
finally,210,4.4714285714285715,0.0,JOY
constant,41,4.512195121951219,0.0,TRUST
effort,85,4.694117647058824,0.0,CATE
sunset,268,4.873134328358209,0.0,ANTICIPATION
board,218,4.724770642201835,0.0,ANTICIPATION
fill,39,4.461538461538462,0.0,TRUST
improve,17,4.411764705882353,0.475,JOY
sun,206,4.800970873786408,0.0,JOY
attention,112,4.955357142857143,0.0,CATE
carefully,29,4.724137931034483,0.125,CATE
regret,307,4.95114006514658,-0.45,SADNESS
wasted,33,2.4545454545454546,-0.55,DISGUST
beach,219,4.876712328767123,0.0,JOY
wrong,134,4.559701492537314,-0.525,CATE
advise,47,4.659574468085107,0.0,TRUST
pleasant,299,4.8762541806020065,0.575,JOY
excited,162,4.753086419753086,0.35,JOY
uncomfortable,55,3.981818181818182,-0.4,CATE
stable,76,4.881578947368421,0.3,TRUST
hot,106,4.556603773584905,0.0,ANGER
fact,203,4.674876847290641,0.0,TRUST
storm,38,4.526315789473684,0.0,ANGER
watch,121,4.8429752066115705,0.0,ANTICIPATION
eagle,59,4.8474576271186445,0.0,TRUST
warning,41,4.2926829268292686,-0.35,FEAR
nausea,34,4.735294117647059,0.0,DISGUST
respectful,15,5.0,0.5,TRUST
interested,146,4.691780821917808,0.425,SADNESS
catch,63,4.666666666666667,0.0,SURPRISE
suggest,136,4.772058823529412,0.0,TRUST
present,72,4.944444444444445,0.0,JOY
explore,122,4.909836065573771,0.0,ANTICIPATION
fair,55,4.545454545454546,0.325,CATE
food,70,4.614285714285714,0.0,JOY
sunny,369,4.8861788617886175,0.45,JOY
complain,18,4.5,-0.375,SADNESS
plan,317,4.861198738170347,0.0,ANTICIPATION
polite,125,4.832,0.0,CATE
disappoint,127,4.937007874015748,-0.425,SADNESS
familiar,42,4.857142857142857,0.0,TRUST
communicative,25,5.0,0.0,CATE
romantic,41,5.0,0.425,JOY
negative,55,4.472727272727273,-0.675,SADNESS
doubt,108,4.935185185185185,-0.375,SADNESS
lack,46,3.847826086956522,-0.325,CATE
exciting,372,4.938172043010753,0.55,JOY
cloudy,315,4.784126984126984,0.0,SADNESS
attentive,99,4.959595959595959,0.0,TRUST
departure,110,4.472727272727273,0.0,SADNESS
change,188,4.6861702127659575,0.0,FEAR
crystal,73,4.972602739726027,0.0,CATE
passionate,61,4.885245901639344,0.6,JOY
fascinating,85,4.882352941176471,0.625,CATE
cooperating,34,4.852941176470588,0.0,TRUST
cancel,131,4.633587786259542,-0.25,SADNESS
rainy,136,4.779411764705882,-0.075,SADNESS
grateful,81,4.925925925925926,0.5,CATE
delicious,35,5.0,0.675,JOY
black,76,4.921052631578948,0.0,SADNESS
unbelievable,348,4.982758620689655,0.2,CATE
bear,214,4.878504672897196,0.0,FEAR
chance,431,4.856148491879351,0.25,SURPRISE
mother,139,4.83453237410072,0.0,JOY
hospitality,63,4.984126984126984,0.0,CATE
solid,37,4.891891891891892,0.15,CATE
difficult,111,4.612612612612613,-0.375,FEAR
case,195,4.764102564102564,0.0,SADNESS
cover,205,4.829268292682927,0.0,TRUST
actual,125,4.632,0.0,CATE
green,117,4.811965811965812,0.0,JOY
wilderness,54,4.962962962962963,0.0,SADNESS
organized,219,4.863013698630137,0.0,CATE
favorite,344,4.968023255813954,0.5,JOY
baby,40,4.725,0.0,JOY
daughter,359,4.888579387186629,0.0,JOY
lower,130,4.7,-0.3,SADNESS
interior,64,4.765625,0.0,TRUST
deal,263,4.828897338403042,0.0,JOY
reliable,41,4.560975609756097,0.0,TRUST
hesitation,69,4.869565217391305,-0.275,FEAR
standing,128,4.7109375,0.0,CATE
blue,309,4.899676375404531,0.0,SADNESS
agree,72,4.944444444444445,0.375,CATE
father,72,4.791666666666667,0.0,TRUST
overcast,110,4.745454545454545,0.0,CATE
chatty,29,4.896551724137931,0.0,CATE
clouded,23,4.565217391304348,-0.05,SADNESS
magnificent,320,4.95625,0.725,JOY
cross,36,4.833333333333333,0.0,SADNESS
organization,71,4.915492957746479,0.0,JOY
agreed,95,4.757894736842105,0.275,TRUST
honesty,18,4.555555555555555,0.55,TRUST
rating,68,4.279411764705882,0.0,SADNESS
operation,313,4.94888178913738,0.0,TRUST
assist,17,4.9411764705882355,0.0,TRUST
successful,21,4.571428571428571,0.7,JOY
touched,42,4.904761904761905,0.0,CATE
immaculate,15,5.0,0.0,JOY
efficient,214,4.94392523364486,0.45,TRUST
choice,257,4.8949416342412455,0.0,CATE
opposed,17,4.882352941176471,0.0,FEAR
brilliant,198,4.9646464646464645,0.7,JOY
majestic,193,4.958549222797927,0.0,JOY
luck,97,4.649484536082475,0.5,JOY
word,106,4.773584905660377,0.0,TRUST
advice,111,4.738738738738738,0.0,TRUST
apprehensive,92,4.989130434782608,0.0,ANTICIPATION
interest,228,4.921052631578948,0.5,CATE
hunter,56,4.982142857142857,0.0,SADNESS
advance,190,4.378947368421053,0.0,JOY
surprisingly,35,4.9714285714285715,0.3,ANTICIPATION
depth,43,4.953488372093023,0.0,TRUST
avalanche,27,5.0,0.0,SADNESS
endless,22,5.0,0.0,JOY
fell,59,4.694915254237288,0.0,SADNESS
important,150,4.74,0.2,TRUST
forward,178,4.556179775280899,0.0,CATE
god,82,4.865853658536586,0.275,JOY
battery,16,4.8125,0.0,ANGER
picturesque,38,4.947368421052632,0.4,JOY
authentic,15,4.933333333333334,0.0,JOY
anchorage,166,4.753012048192771,0.0,SADNESS
enjoying,98,4.86734693877551,0.6,JOY
calls,41,4.170731707317073,0.0,TRUST
worried,146,4.86986301369863,-0.3,SADNESS
swim,17,4.823529411764706,0.0,JOY
intimate,61,4.885245901639344,0.0,JOY
wanting,114,4.956140350877193,0.0,SADNESS
charming,40,4.95,0.7,CATE
stress,39,4.923076923076923,-0.45,CATE
working,121,4.570247933884297,0.0,CATE
nauseous,33,4.696969696969697,0.0,SADNESS
satisfied,53,4.9245283018867925,0.45,JOY
considerate,61,4.967213114754099,0.475,TRUST
appreciation,51,4.980392156862745,0.575,JOY
lost,64,4.21875,-0.325,SADNESS
advised,61,4.590163934426229,0.0,TRUST
falling,15,4.8,-0.15,SADNESS
maintenance,33,3.9393939393939394,0.0,TRUST
guarantee,43,4.767441860465116,0.25,TRUST
beware,20,2.95,0.0,ANTICIPATION
policy,36,4.305555555555555,0.0,TRUST
understanding,70,4.714285714285714,0.0,TRUST
horrible,29,2.310344827586207,-0.625,DISGUST
communicate,88,4.693181818181818,0.0,TRUST
serene,32,4.9375,0.5,TRUST
sunshine,65,4.815384615384615,0.55,JOY
lines,49,4.816326530612245,0.0,FEAR
pay,200,4.535,-0.1,JOY
noisy,54,4.907407407407407,-0.175,ANGER
seasoned,40,5.0,0.0,CATE
majesty,110,4.990909090909091,0.0,TRUST
star,165,4.787878787878788,0.0,JOY
show,250,4.664,0.0,TRUST
inexpensive,26,4.846153846153846,0.0,CATE
evident,22,4.909090909090909,0.0,TRUST
respect,26,4.8076923076923075,0.525,JOY
charm,19,4.894736842105263,0.425,CATE
delighted,30,5.0,0.575,JOY
essential,16,4.875,0.0,CATE
laughing,24,5.0,0.55,JOY
problem,204,4.509803921568627,-0.425,SADNESS
wear,147,4.843537414965986,0.0,TRUST
careful,46,4.586956521739131,0.15,CATE
qualified,20,5.0,0.0,TRUST
grandeur,72,4.902777777777778,0.6,CATE
harbor,158,4.949367088607595,0.0,TRUST
suitable,19,4.526315789473684,0.0,CATE
daily,17,4.705882352941177,0.0,ANTICIPATION
waste,52,3.1346153846153846,-0.45,DISGUST
save,122,4.368852459016393,0.55,JOY
afford,76,4.907894736842105,0.0,CATE
competition,17,4.529411764705882,0.0,ANTICIPATION
leading,25,4.92,0.0,TRUST
seals,17,4.705882352941177,0.0,TRUST
engaging,145,4.924137931034482,0.35,JOY
fuss,15,4.466666666666667,0.0,SADNESS
anxiety,34,4.970588235294118,-0.175,SADNESS
impeccable,27,5.0,0.0,TRUST
obvious,59,4.627118644067797,0.0,TRUST
cheap,134,4.873134328358209,0.0,CATE
courtesy,21,4.476190476190476,0.375,CATE
sensational,20,5.0,0.0,JOY
smile,62,4.935483870967742,0.375,JOY
terminal,127,4.551181102362205,0.0,SADNESS
fight,67,4.865671641791045,-0.4,FEAR
punctual,17,5.0,0.0,TRUST
comfort,120,4.875,0.375,JOY
prefer,27,4.851851851851852,0.0,TRUST
magical,172,4.965116279069767,0.0,JOY
mail,43,4.790697674418604,0.0,ANTICIPATION
sadly,33,4.393939393939394,-0.45,SADNESS
destination,35,4.771428571428571,0.0,JOY
shout,36,4.972222222222222,0.0,SURPRISE
hooked,16,5.0,0.0,CATE
immediately,177,4.711864406779661,0.0,ANTICIPATION
emergency,20,4.8,-0.4,SADNESS
silk,30,5.0,0.0,CATE
loving,17,4.9411764705882355,0.725,JOY
wound,20,4.55,0.0,SADNESS
center,75,4.906666666666666,0.0,TRUST
continue,38,4.894736842105263,0.0,TRUST
gracious,61,4.967213114754099,0.65,CATE
fully,140,4.785714285714286,0.0,TRUST
balance,72,4.569444444444445,0.0,CATE
weight,203,4.615763546798029,0.0,JOY
thrill,142,4.957746478873239,0.375,JOY
courteous,240,4.945833333333334,0.575,CATE
advantage,79,4.949367088607595,0.25,CATE
kick,19,4.947368421052632,0.0,ANGER
happily,43,5.0,0.65,JOY
cap,19,4.947368421052632,0.0,TRUST
fire,32,4.78125,-0.35,FEAR
gentleman,43,4.674418604651163,0.0,TRUST
complaint,45,4.088888888888889,-0.3,ANGER
skillful,32,4.9375,0.0,TRUST
energetic,17,5.0,0.475,CATE
educational,92,4.967391304347826,0.0,TRUST
holiday,117,4.786324786324786,0.425,JOY
brother,58,4.896551724137931,0.0,TRUST
forced,22,4.409090909090909,-0.5,FEAR
encourage,35,4.9714285714285715,0.575,JOY
forgotten,40,4.825,-0.225,SADNESS
usual,51,4.803921568627451,0.0,TRUST
credit,59,4.271186440677966,0.4,TRUST
patience,24,5.0,0.0,TRUST
entertaining,211,4.981042654028436,0.475,JOY
remarkable,59,4.983050847457627,0.65,JOY
educated,29,5.0,0.0,CATE
thoughtful,57,4.964912280701754,0.4,TRUST
graciously,22,4.954545454545454,0.575,CATE
question,110,4.927272727272728,0.0,CATE
refused,17,3.1176470588235294,-0.3,SADNESS
shining,23,4.565217391304348,0.0,JOY
shot,87,4.804597701149425,0.0,SADNESS
fairly,68,4.588235294117647,0.0,TRUST
fee,49,4.6938775510204085,0.0,ANGER
inaccessible,86,4.965116279069767,0.0,CATE
approaching,17,4.647058823529412,0.0,ANTICIPATION
lie,19,4.526315789473684,0.0,SADNESS
boring,28,3.642857142857143,-0.325,CATE
peace,27,5.0,0.625,JOY
accessible,105,4.876190476190477,0.0,CATE
overwhelming,34,4.852941176470588,0.0,CATE
epic,105,4.9714285714285715,0.0,CATE
extraordinary,75,4.973333333333334,0.0,CATE
school,38,4.894736842105263,0.0,TRUST
providing,164,4.853658536585366,0.0,JOY
dirt,15,4.8,-0.35,DISGUST
white,85,4.694117647058824,0.0,JOY
intended,32,4.875,0.0,ANTICIPATION
military,41,4.902439024390244,0.0,FEAR
cooperative,27,4.851851851851852,0.0,TRUST
cute,30,4.8,0.5,CATE
instructions,103,4.70873786407767,0.0,TRUST
extensive,39,4.897435897435898,0.0,CATE
engaged,60,4.8,0.425,JOY
prepared,142,4.774647887323944,0.225,TRUST
flexibility,43,4.8604651162790695,0.35,CATE
confidence,110,4.954545454545454,0.575,JOY
inspired,20,5.0,0.55,JOY
glory,79,4.987341772151899,0.625,JOY
haze,15,4.666666666666667,0.0,FEAR
break,73,4.794520547945205,0.0,SURPRISE
blessed,134,4.970149253731344,0.725,JOY
elevation,22,4.7272727272727275,0.0,JOY
perfection,20,4.95,0.675,JOY
explain,116,4.663793103448276,0.0,TRUST
expecting,70,4.514285714285714,0.0,ANTICIPATION
capture,81,4.839506172839506,0.0,CATE
pride,76,4.907894736842105,0.35,JOY
honeymoon,181,5.0,0.0,JOY
bang,32,4.84375,0.0,SADNESS
constantly,57,4.859649122807017,0.0,TRUST
amazingly,65,4.969230769230769,0.0,JOY
general,83,4.674698795180723,0.0,TRUST
exquisite,22,5.0,0.0,JOY
accomplished,20,4.95,0.475,JOY
marvel,20,4.95,0.45,SURPRISE
mistake,28,4.142857142857143,-0.35,SADNESS
gorge,157,4.987261146496815,0.0,DISGUST
expedition,27,4.851851851851852,0.0,ANTICIPATION
lush,56,4.982142857142857,0.0,SADNESS
system,56,4.517857142857143,0.0,TRUST
dangerous,25,4.12,-0.525,FEAR
fellow,40,4.725,0.0,TRUST
heavenly,18,5.0,0.75,JOY
angel,61,4.819672131147541,0.0,JOY
prepare,40,4.875,0.0,ANTICIPATION
wealth,92,4.956521739130435,0.55,JOY
attempt,38,4.421052631578948,0.0,ANTICIPATION
ultimately,28,4.535714285714286,0.0,ANTICIPATION
thrilling,145,4.958620689655173,0.525,JOY
trust,73,4.767123287671233,0.575,TRUST
uncertain,16,5.0,-0.3,DISGUST
passion,60,5.0,0.5,JOY
promise,26,4.730769230769231,0.325,JOY
budget,73,4.739726027397261,0.0,TRUST
create,24,4.916666666666667,0.275,JOY
crazy,50,4.76,-0.35,SADNESS
upset,23,3.4782608695652173,-0.4,SADNESS
witness,19,5.0,0.0,TRUST
inform,27,3.5925925925925926,0.0,TRUST
responsive,40,4.875,0.375,TRUST
offering,78,4.717948717948718,0.0,TRUST
adventurous,39,4.846153846153846,0.35,CATE
generous,34,4.911764705882353,0.575,JOY
excitement,60,4.983333333333333,0.55,JOY
steady,47,4.9361702127659575,0.0,TRUST
jump,28,4.964285714285714,0.0,JOY
pop,31,4.774193548387097,0.0,SURPRISE
superior,41,4.902439024390244,0.625,CATE
leery,16,4.9375,0.0,SURPRISE
warned,46,4.760869565217392,-0.275,ANTICIPATION
taught,35,5.0,0.0,TRUST
contact,108,4.601851851851852,0.0,CATE
questionable,19,4.842105263157895,-0.3,DISGUST
lose,18,4.611111111111111,-0.425,SADNESS
disappointment,51,4.0,-0.575,SADNESS
cash,24,4.458333333333333,0.0,JOY
guess,82,4.353658536585366,0.0,SURPRISE
ruin,25,4.32,-0.7,SADNESS
hanging,30,4.666666666666667,0.0,SADNESS
challenge,18,4.5,0.075,FEAR
dependent,28,4.5,0.0,TRUST
bank,26,4.230769230769231,0.0,TRUST
insane,18,4.666666666666667,-0.425,FEAR
track,33,4.636363636363637,0.0,ANTICIPATION
immense,21,5.0,0.0,CATE
concerned,151,4.814569536423841,0.0,SADNESS
tired,20,4.5,-0.475,CATE
shopping,48,4.916666666666667,0.0,JOY
boy,81,4.950617283950617,0.0,DISGUST
spur,18,4.944444444444445,0.0,FEAR
manage,22,4.363636363636363,0.0,TRUST
celebration,30,4.833333333333333,0.0,JOY
entertained,60,4.95,0.425,JOY
child,48,4.833333333333333,0.0,JOY
force,21,5.0,0.0,FEAR
hurt,15,4.933333333333334,-0.6,SADNESS
splendor,31,4.967741935483871,0.75,JOY
strip,67,4.701492537313433,0.0,SADNESS
lava,37,4.918918918918919,0.0,FEAR
aloha,126,4.9523809523809526,0.0,JOY
praise,15,4.933333333333334,0.65,JOY
enthusiasm,52,4.923076923076923,0.475,JOY
unexpected,50,4.9,0.0,JOY
splendid,16,4.9375,0.7,JOY
volcano,106,4.933962264150943,0.0,SURPRISE
refreshing,21,4.904761904761905,0.0,CATE
valuable,18,4.555555555555555,0.525,CATE
accurate,29,4.517241379310345,0.0,TRUST
instructor,122,4.934426229508197,0.0,TRUST
grandchildren,15,5.0,0.0,JOY
lesson,77,4.896103896103896,0.0,TRUST
celebrating,31,4.870967741935484,0.675,JOY
celebrated,25,5.0,0.675,JOY
stellar,29,4.793103448275862,0.0,CATE
glare,40,4.8,0.0,FEAR
cherry,21,4.761904761904762,0.0,CATE
instruction,50,4.86,0.0,TRUST
count,23,4.695652173913044,0.0,TRUST
tree,28,4.714285714285714,0.0,JOY
overwhelmed,17,5.0,0.05,SADNESS
whim,21,5.0,0.0,JOY
die,29,4.931034482758621,-0.725,SADNESS
annoying,16,4.125,-0.425,ANGER
welcomed,92,4.989130434782608,0.35,JOY
greeting,34,5.0,0.4,SURPRISE
worthy,20,4.75,0.475,TRUST
versus,22,4.909090909090909,0.0,ANGER
spirit,80,4.8625,0.175,CATE
cliff,40,4.95,0.0,FEAR
account,18,4.388888888888889,0.0,TRUST
genuine,53,4.943396226415095,0.0,TRUST
secret,19,5.0,0.0,TRUST
adorable,15,5.0,0.55,JOY
marvelous,43,4.953488372093023,0.725,JOY
amusing,20,4.95,0.4,JOY
success,18,4.777777777777778,0.675,JOY
secluded,20,4.85,0.0,SADNESS
decent,42,4.309523809523809,0.0,CATE
shortly,34,4.470588235294118,0.0,ANTICIPATION
assure,15,4.4,0.35,TRUST
wonderfully,40,4.975,0.725,JOY
coach,36,4.75,0.0,TRUST
celebrity,27,4.518518518518518,0.0,JOY
visitor,52,4.865384615384615,0.0,JOY
art,17,5.0,0.0,JOY
effective,19,5.0,0.525,TRUST
goodness,27,4.962962962962963,0.5,JOY
hilarious,15,5.0,0.425,JOY
missing,42,4.738095238095238,-0.3,SADNESS
giant,21,5.0,0.0,FEAR
leisurely,18,4.944444444444445,0.0,CATE
soak,23,4.956521739130435,0.0,CATE
dark,43,4.488372093023256,0.0,SADNESS
difficulty,16,4.5625,-0.35,SADNESS
danger,15,4.666666666666667,-0.6,SADNESS
forecast,40,4.725,0.0,TRUST
cove,51,4.882352941176471,0.0,JOY
harry,302,4.940397350993377,0.0,SADNESS
ruined,18,2.9444444444444446,-0.525,SADNESS
broken,15,4.466666666666667,-0.525,SADNESS
veteran,17,4.882352941176471,0.0,TRUST
grab,23,4.826086956521739,0.0,ANGER
crash,23,4.478260869565218,-0.425,SADNESS
impression,36,4.5,0.225,CATE
witty,18,4.944444444444445,0.0,JOY
smell,16,4.0625,0.0,DISGUST
discomfort,17,4.411764705882353,-0.45,SADNESS
smith,24,5.0,0.0,TRUST
balanced,15,4.8,0.0,CATE
convinced,29,4.827586206896552,0.425,TRUST
store,79,4.89873417721519,0.0,ANTICIPATION
humorous,37,4.945945945945946,0.4,JOY
shame,24,4.166666666666667,-0.525,SADNESS
silly,15,4.933333333333334,0.025,JOY
tomorrow,25,4.4,0.0,ANTICIPATION
towering,21,4.9523809523809526,0.0,ANTICIPATION
cramped,26,4.538461538461538,0.0,CATE
spoil,22,4.7727272727272725,0.0,DISGUST
belt,18,4.222222222222222,0.0,FEAR
anxious,33,4.636363636363637,-0.25,ANTICIPATION
management,16,3.8125,0.0,TRUST
reluctant,17,4.764705882352941,-0.25,FEAR
bargain,25,5.0,0.2,TRUST
stomach,57,4.754385964912281,0.0,DISGUST
granted,20,4.8,0.25,CATE
unpredictable,34,4.823529411764706,0.0,SURPRISE
confirmation,44,4.0,0.0,TRUST
result,22,4.409090909090909,0.0,ANTICIPATION
privileged,15,4.666666666666667,0.475,JOY
bother,35,4.514285714285714,-0.35,CATE
tough,22,4.5,-0.125,SADNESS
suffer,17,4.9411764705882355,-0.625,CATE
comprehensive,25,4.96,0.25,CATE
shoot,23,4.869565217391305,-0.35,FEAR
checklist,31,4.967741935483871,0.0,TRUST
sudden,15,4.933333333333334,0.0,SURPRISE
fortune,19,4.947368421052632,0.0,JOY
weigh,56,4.857142857142857,0.0,TRUST
suddenly,20,4.95,0.0,SURPRISE
eager,26,4.769230769230769,0.375,JOY
comprehend,16,5.0,0.0,CATE
greater,39,4.82051282051282,0.375,CATE
cheerful,20,5.0,0.625,JOY
depart,17,4.705882352941177,0.0,SADNESS
caution,24,4.708333333333333,0.0,ANTICIPATION
heartily,16,5.0,0.0,JOY
lesser,15,4.733333333333333,0.0,DISGUST
luxury,17,4.470588235294118,0.0,JOY
calf,16,4.9375,0.0,JOY
diverse,19,5.0,0.0,CATE
preparation,16,4.9375,0.0,ANTICIPATION
