word,chinese_translation,stage_origin,frequency_2500,review_count_2500,example_context
much,非情感/中性客观词,Stage 1 (500 Discovery),282,249,"review_58ba87f9326f017e0b3399ae :: I hate to write a review in the midst of COVID for a small business, but unfortunately due to our experience I’m writing this in hopes that nobody else has the same experience. We ..."
staff,非情感/中性客观词,Stage 1 (500 Discovery),266,246,"review_856d2aa6a78e7be940af3eac :: This was a once in a lifetime, amazing, beautiful experience. 

- the flight out of Scottsdale through the river valleys is beautiful.
- you get to see both north and south side of..."
first,非情感/中性客观词,Stage 1 (500 Discovery),259,220,review_585fd4de71474864f99ab2f5 :: I had taken a family summer trip for a half hour seaplane with lake landing. The pilot had a terrible and rude attitude and was not willing to provide any conversation. He seemed t...
fly,非情感/中性客观词,Stage 1 (500 Discovery),257,219,review_0feea62cebd439414c25d6fc :: My wife and I decided to spend Valentine’s Day in Sedona and booked an air tour of the Grand Canyon. I booked it over the phone with Lindsey whom seems to be the manager. She lead ...
go,非情感/中性客观词,Stage 1 (500 Discovery),257,220,"review_58ba87f9326f017e0b3399ae :: I hate to write a review in the midst of COVID for a small business, but unfortunately due to our experience I’m writing this in hopes that nobody else has the same experience. We ..."
seeing,非情感/中性客观词,Stage 1 (500 Discovery),245,220,"review_6156ccd88f392b21de3b4908 :: I have been to the same resort 8 years in a row and we have flew into Vancouver then flew in from there to the resort by float plane and we have had issues in the past with planes,..."
like,非情感/中性客观词,Stage 1 (500 Discovery),244,211,"review_856d2aa6a78e7be940af3eac :: This was a once in a lifetime, amazing, beautiful experience. 

- the flight out of Scottsdale through the river valleys is beautiful.
- you get to see both north and south side of..."
flew,非情感/中性客观词,Stage 1 (500 Discovery),243,209,"review_6156ccd88f392b21de3b4908 :: I have been to the same resort 8 years in a row and we have flew into Vancouver then flew in from there to the resort by float plane and we have had issues in the past with planes,..."
definitely,非情感/中性客观词,Stage 1 (500 Discovery),238,228,"review_176ad8eab21eb292f98accba :: We spent a weekend on San Juan Islands, and the seaplane ride there was definitely a highlight of the trip! The plane is fantastic, and our pilot Shane was even better. Along with ..."
company,非情感/中性客观词,Stage 1 (500 Discovery),236,194,"review_58ba87f9326f017e0b3399ae :: I hate to write a review in the midst of COVID for a small business, but unfortunately due to our experience I’m writing this in hopes that nobody else has the same experience. We ..."
able,非情感/中性客观词,Stage 1 (500 Discovery),234,205,"review_d885e5c4d3d84166ffc7048f :: Even due to weather, they wont even do a refund or is able to do a voucher for one year. Honestly very upsetting. It was raining really hard and super cloudy and they made no circu..."
guide,非情感/中性客观词,Stage 1 (500 Discovery),234,206,review_3ba1137cb1b4e9207840a231 :: We found a really nice fishing experiance in Talkeetna.Starting with Molly the office manager to the pilots and guides. All were friendly and accomodating. Yes we did catch many fi...
booked,非情感/中性客观词,Stage 1 (500 Discovery),230,188,"review_58ba87f9326f017e0b3399ae :: I hate to write a review in the midst of COVID for a small business, but unfortunately due to our experience I’m writing this in hopes that nobody else has the same experience. We ..."
everyone,非情感/中性客观词,Stage 1 (500 Discovery),230,206,"review_856d2aa6a78e7be940af3eac :: This was a once in a lifetime, amazing, beautiful experience. 

- the flight out of Scottsdale through the river valleys is beautiful.
- you get to see both north and south side of..."
professional,非情感/中性客观词,Stage 1 (500 Discovery),230,221,"review_48c09089c16a76a76a7c28b4 :: Thoroughly enjoyable. Professional and pleasant. Took loads of photos and got great views, was able to properly appreciate the scale of the Grand Canyon..."
alaska,非情感/中性客观词,Stage 1 (500 Discovery),226,186,review_585fd4de71474864f99ab2f5 :: I had taken a family summer trip for a half hour seaplane with lake landing. The pilot had a terrible and rude attitude and was not willing to provide any conversation. He seemed t...
gave,非情感/中性客观词,Stage 1 (500 Discovery),226,199,"review_6fbeaf457ee807a3d63481cd :: This was the once-in-a-lifetime trip for my wife and son to see Mt. McKinley/Denali and we had an AWESOME time.  The pilot, Pat A., had over 17,000 flight hours and made sure we we..."
saw,非情感/中性客观词,Stage 1 (500 Discovery),221,195,"review_fa5c178f0540c8c621211eb6 :: My daughter and I had a great experience with our flight with Chad. He made sure that we are very comfortable during the flight, views that we saw from the plane were amazing and e..."
area,非情感/中性客观词,Stage 1 (500 Discovery),218,192,"review_176ad8eab21eb292f98accba :: We spent a weekend on San Juan Islands, and the seaplane ride there was definitely a highlight of the trip! The plane is fantastic, and our pilot Shane was even better. Along with ..."
family,非情感/中性客观词,Stage 1 (500 Discovery),213,189,review_585fd4de71474864f99ab2f5 :: I had taken a family summer trip for a half hour seaplane with lake landing. The pilot had a terrible and rude attitude and was not willing to provide any conversation. He seemed t...
everything,非情感/中性客观词,Stage 1 (500 Discovery),211,199,review_fea58727faaa3a0887fe14ea :: We had a very short time to explore the Grand Canyon. We decided to take the early flight and were completely satisfied in every respect. Of course the views were absolutely magnif...
sure,非情感/中性客观词,Stage 1 (500 Discovery),211,193,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
small,非情感/中性客观词,Stage 1 (500 Discovery),201,175,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
little,非情感/中性客观词,Stage 1 (500 Discovery),199,178,"review_07a4d180b1c3927f6d90e08e :: Booked direct, over two months in advance. With only a couple hours to go before our flight they tell us it's cancelled, since not enough people signed up for the time slot. They o..."
went,非情感/中性客观词,Stage 1 (500 Discovery),189,178,review_2a211e66566d9506094042c7 :: My family of 5 ranging in ages of 18 to 73 embarked on this amazing flight in March 2022.  I admit I was a bit nervous as flying can bring anxiety sometimes but Billy - our pilot w...
never,非情感/中性客观词,Stage 1 (500 Discovery),186,164,review_0feea62cebd439414c25d6fc :: My wife and I decided to spend Valentine’s Day in Sedona and booked an air tour of the Grand Canyon. I booked it over the phone with Lindsey whom seems to be the manager. She lead ...
mountains,非情感/中性客观词,Stage 1 (500 Discovery),180,152,review_2a211e66566d9506094042c7 :: My family of 5 ranging in ages of 18 to 73 embarked on this amazing flight in March 2022.  I admit I was a bit nervous as flying can bring anxiety sometimes but Billy - our pilot w...
many,非情感/中性客观词,Stage 1 (500 Discovery),179,155,review_0feea62cebd439414c25d6fc :: My wife and I decided to spend Valentine’s Day in Sedona and booked an air tour of the Grand Canyon. I booked it over the phone with Lindsey whom seems to be the manager. She lead ...
people,非情感/中性客观词,Stage 1 (500 Discovery),176,155,"review_58ba87f9326f017e0b3399ae :: I hate to write a review in the midst of COVID for a small business, but unfortunately due to our experience I’m writing this in hopes that nobody else has the same experience. We ..."
mountain,非情感/中性客观词,Stage 1 (500 Discovery),175,138,review_1b882aa7c72201a6725b9fe7 :: We booked the 30 minute ride but decided to go on the longer one once there. Worth. Every. Penny!  You fly so close to the Moose Teeth mountain that you feel like you can touch it....
hour,非情感/中性客观词,Stage 1 (500 Discovery),174,150,"review_856d2aa6a78e7be940af3eac :: This was a once in a lifetime, amazing, beautiful experience. 

- the flight out of Scottsdale through the river valleys is beautiful.
- you get to see both north and south side of..."
wings,非情感/中性客观词,Stage 1 (500 Discovery),173,130,"review_b000df598ef420c3db6a55b4 :: We did a Denali explorer flight seeing tour with glacier landing on July 5.  I had originally had this excursion booked for three weeks prior to this date, but I came down with cov..."
service,非情感/中性客观词,Stage 1 (500 Discovery),172,156,"review_856d2aa6a78e7be940af3eac :: This was a once in a lifetime, amazing, beautiful experience. 

- the flight out of Scottsdale through the river valleys is beautiful.
- you get to see both north and south side of..."
absolutely,非情感/中性客观词,Stage 1 (500 Discovery),169,161,"review_d885e5c4d3d84166ffc7048f :: Even due to weather, they wont even do a refund or is able to do a voucher for one year. Honestly very upsetting. It was raining really hard and super cloudy and they made no circu..."
make,非情感/中性客观词,Stage 1 (500 Discovery),169,152,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
pictures,非情感/中性客观词,Stage 1 (500 Discovery),159,147,"review_98e74ad69a88380b69ce727c :: The tour guide Eric was not only friendly, knowledgeable, and patient, but also a skillful pilot. With his incredible skill, we were able to witness the sea cliff from an impeccabl..."
feel,非情感/中性客观词,Stage 1 (500 Discovery),156,146,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
felt,非情感/中性客观词,Stage 1 (500 Discovery),156,141,review_af6e91837198d33f81e2790e :: We paid to get a ride on a 30 seater and were taken on the tarmac to a beater silver plane in the back. The plane had clank noises when turning on the runway. The pilot was reading...
wife,非情感/中性客观词,Stage 1 (500 Discovery),154,125,review_0feea62cebd439414c25d6fc :: My wife and I decided to spend Valentine’s Day in Sedona and booked an air tour of the Grand Canyon. I booked it over the phone with Lindsey whom seems to be the manager. She lead ...
entire,非情感/中性客观词,Stage 1 (500 Discovery),150,134,"review_e01e7e33a2e53a8b8dad0eb6 :: This was the best part of our Alaskan cruise. The float plane trip was exceptional,  but the walk through the woods and viewing the bears from a platform was the most thrilling exp..."
highlight,非情感/中性客观词,Stage 1 (500 Discovery),150,147,"review_176ad8eab21eb292f98accba :: We spent a weekend on San Juan Islands, and the seaplane ride there was definitely a highlight of the trip! The plane is fantastic, and our pilot Shane was even better. Along with ..."
husband,非情感/中性客观词,Stage 1 (500 Discovery),150,124,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
things,非情感/中性客观词,Stage 1 (500 Discovery),150,130,review_1b882aa7c72201a6725b9fe7 :: We booked the 30 minute ride but decided to go on the longer one once there. Worth. Every. Penny!  You fly so close to the Moose Teeth mountain that you feel like you can touch it....
land,非情感/中性客观词,Stage 1 (500 Discovery),149,121,"review_442bd14270e4cf874af0ab43 :: Last year, Taquan (pilot Dave and guide Mark Phillips) did an excellent job at getting us to Anan Creek.  However, due to our ship's limited time in port last year, along with poor..."
seat,非情感/中性客观词,Stage 1 (500 Discovery),147,127,review_7610caa1138d8b33b74c4e88 :: Each seat had excellent views of the Grand Canyon. Taking the whole scene in by air is maybe the best way to understand the size and majesty of the canyon. The crew was professiona...
right,非情感/中性客观词,Stage 1 (500 Discovery),146,132,review_cdfb30308f4301fae846c380 :: We traveled to Friday Harbor and back to Seattle with Friday Harbor Seaplanes and they were accommodating and such a pleasure to deal with from start to finish. Before traveling to...
enough,非情感/中性客观词,Stage 1 (500 Discovery),145,135,review_585fd4de71474864f99ab2f5 :: I had taken a family summer trip for a half hour seaplane with lake landing. The pilot had a terrible and rude attitude and was not willing to provide any conversation. He seemed t...
lifetime,非情感/中性客观词,Stage 1 (500 Discovery),144,135,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
thank,非情感/中性客观词,Stage 1 (500 Discovery),144,133,"review_254f46e4a5fb0f6c7e0c50cd :: I am rewriting this review, as my first review was softly forced.  The pilot stopped the golf cart near the hangars and asked us to click the links and do the review on the spot…an..."
money,非情感/中性客观词,Stage 1 (500 Discovery),142,133,"review_4511d8eaf3229db4ead0a471 :: We were very much looking forward to this tour when we booked it from Holland America. When we took the tour, 3 other groups left at the same time. We were group of 5 and was only ..."
whole,非情感/中性客观词,Stage 1 (500 Discovery),140,127,review_7610caa1138d8b33b74c4e88 :: Each seat had excellent views of the Grand Canyon. Taking the whole scene in by air is maybe the best way to understand the size and majesty of the canyon. The crew was professiona...
airport,非情感/中性客观词,Stage 1 (500 Discovery),139,106,"review_6156ccd88f392b21de3b4908 :: I have been to the same resort 8 years in a row and we have flew into Vancouver then flew in from there to the resort by float plane and we have had issues in the past with planes,..."
lot,非情感/中性客观词,Stage 1 (500 Discovery),138,129,"review_f1afb11c14a20df3c0e654e1 :: All I can say is GO. And K2 is the company to GO with.
That's our experience. And what an experience it was...

If you have the means and the wherewithall to
afford this trip, it i..."
minutes,非情感/中性客观词,Stage 1 (500 Discovery),138,120,"review_58ba87f9326f017e0b3399ae :: I hate to write a review in the midst of COVID for a small business, but unfortunately due to our experience I’m writing this in hopes that nobody else has the same experience. We ..."
landed,非情感/中性客观词,Stage 1 (500 Discovery),137,132,review_585fd4de71474864f99ab2f5 :: I had taken a family summer trip for a half hour seaplane with lake landing. The pilot had a terrible and rude attitude and was not willing to provide any conversation. He seemed t...
minute,非情感/中性客观词,Stage 1 (500 Discovery),134,118,review_1b882aa7c72201a6725b9fe7 :: We booked the 30 minute ride but decided to go on the longer one once there. Worth. Every. Penny!  You fly so close to the Moose Teeth mountain that you feel like you can touch it....
sights,非情感/中性客观词,Stage 1 (500 Discovery),133,122,review_e68e4472a8fa5075641e96df :: We booked our round trip flight online and the people were great to work with very helpful and answered all questions repeatedly. We flew on a scheduled flight to Edna Bay Alaska a...
next,非情感/中性客观词,Stage 1 (500 Discovery),132,113,"review_9f9d62b99552657a136a55ab :: Part of our family vacation this year was an overnight trip to San Juan Islands, and what better way to get there and back than a seaplane!  This was awesome.  The flight is about ..."
taking,非情感/中性客观词,Stage 1 (500 Discovery),131,119,review_7610caa1138d8b33b74c4e88 :: Each seat had excellent views of the Grand Canyon. Taking the whole scene in by air is maybe the best way to understand the size and majesty of the canyon. The crew was professiona...
coast,非情感/中性客观词,Stage 1 (500 Discovery),130,113,review_cdfb30308f4301fae846c380 :: We traveled to Friday Harbor and back to Seattle with Friday Harbor Seaplanes and they were accommodating and such a pleasure to deal with from start to finish. Before traveling to...
ever,非情感/中性客观词,Stage 1 (500 Discovery),130,124,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
anyone,非情感/中性客观词,Stage 1 (500 Discovery),129,125,"review_442bd14270e4cf874af0ab43 :: Last year, Taquan (pilot Dave and guide Mark Phillips) did an excellent job at getting us to Anan Creek.  However, due to our ship's limited time in port last year, along with poor..."
scenery,非情感/中性客观词,Stage 1 (500 Discovery),128,124,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
clear,非情感/中性客观词,Stage 1 (500 Discovery),126,119,"review_6fbeaf457ee807a3d63481cd :: This was the once-in-a-lifetime trip for my wife and son to see Mt. McKinley/Denali and we had an AWESOME time.  The pilot, Pat A., had over 17,000 flight hours and made sure we we..."
history,非情感/中性客观词,Stage 1 (500 Discovery),126,119,"review_176ad8eab21eb292f98accba :: We spent a weekend on San Juan Islands, and the seaplane ride there was definitely a highlight of the trip! The plane is fantastic, and our pilot Shane was even better. Along with ..."
super,非情感/中性客观词,Stage 1 (500 Discovery),126,113,"review_856d2aa6a78e7be940af3eac :: This was a once in a lifetime, amazing, beautiful experience. 

- the flight out of Scottsdale through the river valleys is beautiful.
- you get to see both north and south side of..."
say,非情感/中性客观词,Stage 1 (500 Discovery),125,120,"review_ff53fc07f1b4dad74f413aa0 :: Wow...hard to explain such a mind blowing experience. I am not a person with a lack of things to say, but this trip left me speechless.  The feeling of being so close to these maje..."
tours,非情感/中性客观词,Stage 1 (500 Discovery),125,109,review_7610caa1138d8b33b74c4e88 :: Each seat had excellent views of the Grand Canyon. Taking the whole scene in by air is maybe the best way to understand the size and majesty of the canyon. The crew was professiona...
price,非情感/中性客观词,Stage 1 (500 Discovery),123,107,"review_254f46e4a5fb0f6c7e0c50cd :: I am rewriting this review, as my first review was softly forced.  The pilot stopped the golf cart near the hangars and asked us to click the links and do the review on the spot…an..."
going,非情感/中性客观词,Stage 1 (500 Discovery),121,113,review_0feea62cebd439414c25d6fc :: My wife and I decided to spend Valentine’s Day in Sedona and booked an air tour of the Grand Canyon. I booked it over the phone with Lindsey whom seems to be the manager. She lead ...
job,非情感/中性客观词,Stage 1 (500 Discovery),121,115,"review_6156ccd88f392b21de3b4908 :: I have been to the same resort 8 years in a row and we have flew into Vancouver then flew in from there to the resort by float plane and we have had issues in the past with planes,..."
know,非情感/中性客观词,Stage 1 (500 Discovery),121,102,review_1b882aa7c72201a6725b9fe7 :: We booked the 30 minute ride but decided to go on the longer one once there. Worth. Every. Penny!  You fly so close to the Moose Teeth mountain that you feel like you can touch it....
ventures,非情感/中性客观词,Stage 1 (500 Discovery),120,87,review_6b1f41d7d9376e30f1be6051 :: Initially we decided to skip the tour then we decided in the last minute. Called Air Ventures Hawaii and asked them availability they are amazing they give all possible choices tha...
truly,非情感/中性客观词,Stage 1 (500 Discovery),118,111,"review_1a40b7366c1df323a2059968 :: Captain Jack was wonderful as he flew us over the Grand Canyon. The tour had an audio component, which was just informative enough but not overdone. The views were stunning and tru..."
book,非情感/中性客观词,Stage 1 (500 Discovery),117,103,"review_a7368b502923fca015488011 :: Such an amazing experience! Can’t recommend this enough, you will see the island like no other! My boyfriend and I went together, he’s 6’8 and we were a little nervous about his si..."
photos,非情感/中性客观词,Stage 1 (500 Discovery),117,102,"review_48c09089c16a76a76a7c28b4 :: Thoroughly enjoyable. Professional and pleasant. Took loads of photos and got great views, was able to properly appreciate the scale of the Grand Canyon..."
top,非情感/中性客观词,Stage 1 (500 Discovery),116,110,review_7610caa1138d8b33b74c4e88 :: Each seat had excellent views of the Grand Canyon. Taking the whole scene in by air is maybe the best way to understand the size and majesty of the canyon. The crew was professiona...
close,非情感/中性客观词,Stage 1 (500 Discovery),115,108,review_0feea62cebd439414c25d6fc :: My wife and I decided to spend Valentine’s Day in Sedona and booked an air tour of the Grand Canyon. I booked it over the phone with Lindsey whom seems to be the manager. She lead ...
due,非情感/中性客观词,Stage 1 (500 Discovery),115,100,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
provided,非情感/中性客观词,Stage 1 (500 Discovery),115,103,"review_58ba87f9326f017e0b3399ae :: I hate to write a review in the midst of COVID for a small business, but unfortunately due to our experience I’m writing this in hopes that nobody else has the same experience. We ..."
questions,非情感/中性客观词,Stage 1 (500 Discovery),115,111,review_2a211e66566d9506094042c7 :: My family of 5 ranging in ages of 18 to 73 embarked on this amazing flight in March 2022.  I admit I was a bit nervous as flying can bring anxiety sometimes but Billy - our pilot w...
different,非情感/中性客观词,Stage 1 (500 Discovery),114,109,review_585fd4de71474864f99ab2f5 :: I had taken a family summer trip for a half hour seaplane with lake landing. The pilot had a terrible and rude attitude and was not willing to provide any conversation. He seemed t...
glad,非情感/中性客观词,Stage 1 (500 Discovery),113,110,"review_6c89ecdf05add32f2e5cb9a7 :: I was able to squeeze in a quick tour at the end of a two-week trip after my flight home was delayed a day, and I'm glad that it worked out - this tour was one of the highlights of..."
