word,chinese_translation,stage_origin,frequency_21215,review_count_21215,example_context
views,风光 / 景观视野,Stage 1 (500 Discovery),5771,5185,"review_08dec3adeedc3666c165bf28 :: Great experience all around, can't beat it for doing a half-day tour! Airport was very convenient, pilot was awesome, and really fantastic views from the plane and at the canyon...."
kauai,可爱岛,Stage 1 (500 Discovery),5718,3407,"review_278b0c04c816a76305f2d62c :: Westwind is unquestionably one of the best experiences I have had in travel.  We were scheduled to fly to the Grand Canyon on December 28th.  On Christmas Eve, we saw that weather ..."
island,海岛 / 岛屿,Stage 1 (500 Discovery),5687,3922,review_93413a739b52b4072106b5b5 :: I just wanted to say thank you for an amazing experience!! Our Delta airline flights were delayed by 8 hours and the first day of our trip to Friday Harbor was not what we had expe...
glacier,冰川 / 冰河,Stage 1 (500 Discovery),5589,3688,"review_dfecc79fa219774441487192 :: Jason, the pilot, was fabulous.  Super smooth flight, & the glacier views were unbelievable.  The guided hike was wonderful.  We spotted a black bear.  Lunch was delicious!..."
landing,降落 / 着陆,Stage 1 (500 Discovery),4938,3836,review_9cc699fcb8b3d3fab878cc9f :: I'm conflicted as to how to review Westwind as we had two different planes for our group of 16 family and friends (ages ranging from 25 - 60) who had completely different experienc...
day,日期 / 白天,Stage 1 (500 Discovery),4660,3579,"review_0b3d9e46d4144a6c146dd89f :: We had a such a great day at the Grand Canyon! A full day…in the air and a 3 hour tour in the Wildbuck Hummer, 45 mins in the little town before we flew back to Phoenix. Our tour g..."
canyon,峡谷 / 大峡谷,Stage 1 (500 Discovery),4467,2434,"review_0b3d9e46d4144a6c146dd89f :: We had a such a great day at the Grand Canyon! A full day…in the air and a 3 hour tour in the Wildbuck Hummer, 45 mins in the little town before we flew back to Phoenix. Our tour g..."
highly,高度地 / 非常,Stage 1 (500 Discovery),4194,4049,"review_0b3d9e46d4144a6c146dd89f :: We had a such a great day at the Grand Canyon! A full day…in the air and a 3 hour tour in the Wildbuck Hummer, 45 mins in the little town before we flew back to Phoenix. Our tour g..."
way,路线 / 方式,Stage 1 (500 Discovery),4166,3585,review_dfb2e16eb1e6fd1e7e9b818d :: Been to the Grand Canyon 2 other times seen more on this trip that the other 2 combined.  WAY TO GO!! ++++ HIGHLY RECOMMEND IT...
one,一个 / 一位,Stage 1 (500 Discovery),4151,3374,review_b562aa1c118a8a327cc24d3b :: This was by far one of the best tours I have ever been on. The experience was great from start to finish. Westwind was great to work with and Brandon took excellent care of us in t...
get,到达 / 获取,Stage 1 (500 Discovery),4030,3149,"review_0b3d9e46d4144a6c146dd89f :: We had a such a great day at the Grand Canyon! A full day…in the air and a 3 hour tour in the Wildbuck Hummer, 45 mins in the little town before we flew back to Phoenix. Our tour g..."
denali,德纳利雪山,Stage 1 (500 Discovery),3928,2845,"review_3df01e484595c86bdbe23345 :: The outfit was really laid-back, which was nice. They accommodated our schedule and shifted us around a couple times. It worked out. The pilot was nice, but not super-informative. ..."
took,乘坐 / 参加,Stage 1 (500 Discovery),3894,3310,review_b562aa1c118a8a327cc24d3b :: This was by far one of the best tours I have ever been on. The experience was great from start to finish. Westwind was great to work with and Brandon took excellent care of us in t...
weather,天气 / 气象状况,Stage 1 (500 Discovery),3596,2847,review_9650dd6c136936de202ba6c4 :: This was a great day. The pilot did an awesome job after we hit severe turbulence over the Grand Canyon. The ground tour was great as well and in spite of less than perfect weather...
helicopter,直升机,Stage 1 (500 Discovery),3478,2515,"review_c3e4bc54584b39606bbd4cfa :: This was a phenomenal experience! Well worth the cost of the trip. When we checked in we were met by extremely friendly staff. Carla, our pilot, was absolutely terrific. Very infor..."
made,made（过程/动作动词）,Stage 1 (500 Discovery),3398,2980,review_ed818a4e9f6f3477369ee75d :: The folks at Westwind Air do it right. Top notch service. We were greeted with smiling professional people. Snacks and beverages all ready for us. Our pilot ( Doug) was fantastic. ...
take,take（名词/物理实体）,Stage 1 (500 Discovery),3383,2818,review_b562aa1c118a8a327cc24d3b :: This was by far one of the best tours I have ever been on. The experience was great from start to finish. Westwind was great to work with and Brandon took excellent care of us in t...
got,获得 / 到达,Stage 1 (500 Discovery),3262,2646,review_d1dbb71690d1453e7bbc4b13 :: This was one of the best days of my life. I can’t say enough good things about this tour and the staff at Westwind. We would have skipped this tour after my mom broke her arm the d...
ride,乘骑 / 航程,Stage 1 (500 Discovery),3184,2524,"review_d4861ff7e19204212047a81e :: This is a must go trip! The experience was top-notch. You will never experience the views of the Grand Canyon or Sedona without a aerial trip. Carla our captain, experience not onl..."
well,well（名词/物理实体）,Stage 1 (500 Discovery),3174,2763,review_82015a44043c500a6de0931c :: Great way to see the Grand Canyon and get there quickly from the Phoenix area. From our communication before the tour with Lindsey to our Flight there and back with pilot Brendon a...
back,后排 / 返回,Stage 1 (500 Discovery),3130,2414,"review_0b3d9e46d4144a6c146dd89f :: We had a such a great day at the Grand Canyon! A full day…in the air and a 3 hour tour in the Wildbuck Hummer, 45 mins in the little town before we flew back to Phoenix. Our tour g..."
flying,flying（名词/物理实体）,Stage 1 (500 Discovery),3044,2602,"review_ab324eff306941e3251df22d :: Our Grand Canyon Signature Tour - South Rim with Hummer Ground Tour was an absolutely amazing experience, flying over the desert from Phoenix to the Grand Canyon, passing over Sedo..."
really,really（副词/程度词）,Stage 1 (500 Discovery),3031,2492,"review_08dec3adeedc3666c165bf28 :: Great experience all around, can't beat it for doing a half-day tour! Airport was very convenient, pilot was awesome, and really fantastic views from the plane and at the canyon...."
even,even（名词/物理实体）,Stage 1 (500 Discovery),2855,2490,"review_0b3d9e46d4144a6c146dd89f :: We had a such a great day at the Grand Canyon! A full day…in the air and a 3 hour tour in the Wildbuck Hummer, 45 mins in the little town before we flew back to Phoenix. Our tour g..."
around,around（副词/程度词）,Stage 1 (500 Discovery),2841,2447,review_82015a44043c500a6de0931c :: Great way to see the Grand Canyon and get there quickly from the Phoenix area. From our communication before the tour with Lindsey to our Flight there and back with pilot Brendon a...
bruce,bruce（名词/物理实体）,Stage 1 (500 Discovery),2792,1466,"review_6953f6ccc52ef90c5e951b23 :: From the office check-in,  to the end of trip landing, the whole experience was a 15 on a 1 - 10 scale.  Walking on the Ruth Glacier was surreal.

Bruce and Kathryn Jordan, Palmer,..."
view,view（名词/物理实体）,Stage 1 (500 Discovery),2783,2448,"review_8112d0e93d02e5220c82a676 :: Evidently, the view is amazing, but it's the friendliness and top notch customer service that stands out. Pearl is amazing! The whole team go the extra mile to make sure your exper..."
much,much（名词/物理实体）,Stage 1 (500 Discovery),2665,2314,review_f966c5fbd6097e3895bce2c6 :: Our family of four had a great flight over the Grand Canyon. Everyone from Westwind was great - from booking with Denienne to the amazing flight with Paul. We each had our own wind...
also,also（副词/程度词）,Stage 1 (500 Discovery),2664,2230,review_ed818a4e9f6f3477369ee75d :: The folks at Westwind Air do it right. Top notch service. We were greeted with smiling professional people. Snacks and beverages all ready for us. Our pilot ( Doug) was fantastic. ...
smooth,smooth（名词/物理实体）,Stage 1 (500 Discovery),2578,2443,review_7dec9327e58c594ad18db947 :: Best part of this trip was the smooth and peaceful plane ride over the canyon!  Felt safe with our professional pilot Tom!...
staff,staff（名词/物理实体）,Stage 1 (500 Discovery),2532,2377,"review_c3e4bc54584b39606bbd4cfa :: This was a phenomenal experience! Well worth the cost of the trip. When we checked in we were met by extremely friendly staff. Carla, our pilot, was absolutely terrific. Very infor..."
fly,fly（名词/物理实体）,Stage 1 (500 Discovery),2333,2015,review_bfc3f1958db1c16d6534e345 :: This was my second time flying with West Wind and they are fantastic! I couldn’t be happier. Flying over the Grand Canyon with Carson our pilot was an amazing experience and I can’...
able,able（客观属性词）,Stage 1 (500 Discovery),2289,1968,"review_435119221505b3380abef27c :: My family of three had an amazing experience with Captain Carla on the Signature Tour! My son and I were very nervous, but Captain Carla was so kind and competent. We departed from..."
definitely,definitely（副词/程度词）,Stage 1 (500 Discovery),2289,2150,"review_c3e4bc54584b39606bbd4cfa :: This was a phenomenal experience! Well worth the cost of the trip. When we checked in we were met by extremely friendly staff. Carla, our pilot, was absolutely terrific. Very infor..."
alaska,阿拉斯加,Stage 1 (500 Discovery),2239,1848,"review_d5214b768412bef008732dba :: We had an incredible experience with Alaska Float Plane Company! Our pilot, Jason, was absolutely fantastic. He was knowledgeable, helpful, and clearly passionate about what he doe..."
go,go（名词/物理实体）,Stage 1 (500 Discovery),2190,1887,review_dfb2e16eb1e6fd1e7e9b818d :: Been to the Grand Canyon 2 other times seen more on this trip that the other 2 combined.  WAY TO GO!! ++++ HIGHLY RECOMMEND IT...
flew,flew（过程/动作动词）,Stage 1 (500 Discovery),2130,1881,"review_0b3d9e46d4144a6c146dd89f :: We had a such a great day at the Grand Canyon! A full day…in the air and a 3 hour tour in the Wildbuck Hummer, 45 mins in the little town before we flew back to Phoenix. Our tour g..."
first,第一次 / 首选,Stage 1 (500 Discovery),2118,1862,"review_aa1ae3139fbb554b26ec2c15 :: This trip was totally worth it. Everyone at Westwinds was friendly. The narrated flight was informative. The scenery was beautiful. The convenience from Phoenix was awesome. 

The ..."
everyone,everyone（中性词）,Stage 1 (500 Discovery),2078,1887,"review_5b214f13092466c89c4401ef :: The aerial tour of Sedona, Flagstaff and, of course, the Grand Canyon was fabulous. This was further enhanced by the south rim Hummer tour. This was all followed up with a bonus, d..."
professional,professional（名词/物理实体）,Stage 1 (500 Discovery),2073,1986,"review_0b3d9e46d4144a6c146dd89f :: We had a such a great day at the Grand Canyon! A full day…in the air and a 3 hour tour in the Wildbuck Hummer, 45 mins in the little town before we flew back to Phoenix. Our tour g..."
saw,saw（名词/物理实体）,Stage 1 (500 Discovery),2070,1868,review_8f653fd5222c1543cb44db55 :: My husband I thoroughly enjoyed our plane ride to the Canyon with the pilot making sure we saw the beautiful canyon from above . Could not stop taking photos. When we arrived at th...
seeing,seeing（名词/物理实体）,Stage 1 (500 Discovery),2062,1879,review_92c89d45dafc32430c1381c4 :: Just such an amazing experience...from Lindsey's warm welcome when we arrived to the pilots navigating the journey! I would highly recommend this tour...it is truly a once in a lif...
like,like（名词/物理实体）,Stage 1 (500 Discovery),2048,1788,"review_5b214f13092466c89c4401ef :: The aerial tour of Sedona, Flagstaff and, of course, the Grand Canyon was fabulous. This was further enhanced by the south rim Hummer tour. This was all followed up with a bonus, d..."
area,area（名词/物理实体）,Stage 1 (500 Discovery),1930,1682,review_82015a44043c500a6de0931c :: Great way to see the Grand Canyon and get there quickly from the Phoenix area. From our communication before the tour with Lindsey to our Flight there and back with pilot Brendon a...
guide,guide（名词/物理实体）,Stage 1 (500 Discovery),1897,1755,"review_0b3d9e46d4144a6c146dd89f :: We had a such a great day at the Grand Canyon! A full day…in the air and a 3 hour tour in the Wildbuck Hummer, 45 mins in the little town before we flew back to Phoenix. Our tour g..."
booked,booked（过程/动作动词）,Stage 1 (500 Discovery),1871,1684,"review_0b3d9e46d4144a6c146dd89f :: We had a such a great day at the Grand Canyon! A full day…in the air and a 3 hour tour in the Wildbuck Hummer, 45 mins in the little town before we flew back to Phoenix. Our tour g..."
gave,gave（过程/动作动词）,Stage 1 (500 Discovery),1861,1685,"review_c3e4bc54584b39606bbd4cfa :: This was a phenomenal experience! Well worth the cost of the trip. When we checked in we were met by extremely friendly staff. Carla, our pilot, was absolutely terrific. Very infor..."
company,公司 / 运营商,Stage 1 (500 Discovery),1828,1563,"review_8edb6b136dc2a365d2ceec0b :: This was my anniversary gift for my wife and it exceeded every expectation. The staff, pilots and our tour guide on the ground (different company by Westwind coordinates for you) w..."
went,went（过程/动作动词）,Stage 1 (500 Discovery),1776,1614,"review_c3e4bc54584b39606bbd4cfa :: This was a phenomenal experience! Well worth the cost of the trip. When we checked in we were met by extremely friendly staff. Carla, our pilot, was absolutely terrific. Very infor..."
family,家人 / 家庭,Stage 1 (500 Discovery),1767,1520,review_ed818a4e9f6f3477369ee75d :: The folks at Westwind Air do it right. Top notch service. We were greeted with smiling professional people. Snacks and beverages all ready for us. Our pilot ( Doug) was fantastic. ...
sure,sure（客观属性词）,Stage 1 (500 Discovery),1765,1601,"review_8112d0e93d02e5220c82a676 :: Evidently, the view is amazing, but it's the friendliness and top notch customer service that stands out. Pearl is amazing! The whole team go the extra mile to make sure your exper..."
wings,wings（名词/物理实体）,Stage 1 (500 Discovery),1757,1282,review_27234acae063c7629ca40f57 :: Eric was wonderful! The tour was amazing. The views are breathtaking. He made sure we got plenty of good pictures without the plane’s wings being in the way. Definitely a tour to r...
everything,everything（中性词）,Stage 1 (500 Discovery),1667,1520,"review_9698a96c9c141be49b012144 :: Absolutely blown away with this experience, everything was perfect form the flight to the hummer tour. We felt safe, and informed about the GC. The time flying in the canyon was am..."
small,small（名词/物理实体）,Stage 1 (500 Discovery),1649,1465,"review_8edb6b136dc2a365d2ceec0b :: This was my anniversary gift for my wife and it exceeded every expectation. The staff, pilots and our tour guide on the ground (different company by Westwind coordinates for you) w..."
many,many（客观属性词）,Stage 1 (500 Discovery),1617,1426,review_92c89d45dafc32430c1381c4 :: Just such an amazing experience...from Lindsey's warm welcome when we arrived to the pilots navigating the journey! I would highly recommend this tour...it is truly a once in a lif...
little,little（名词/物理实体）,Stage 1 (500 Discovery),1598,1397,"review_0b3d9e46d4144a6c146dd89f :: We had a such a great day at the Grand Canyon! A full day…in the air and a 3 hour tour in the Wildbuck Hummer, 45 mins in the little town before we flew back to Phoenix. Our tour g..."
felt,felt（名词/物理实体）,Stage 1 (500 Discovery),1597,1471,"review_9698a96c9c141be49b012144 :: Absolutely blown away with this experience, everything was perfect form the flight to the hummer tour. We felt safe, and informed about the GC. The time flying in the canyon was am..."
mountains,山脉群,Stage 1 (500 Discovery),1594,1404,"review_c93167ce3ad55172293950ff :: We did the Grand Canyon air tour with the South Rim hummer tour.  It was all incredible!  Our pilot was great, and there was an audio going the whole flight explaining about all of..."
never,never（副词/程度词）,Stage 1 (500 Discovery),1586,1452,review_ed818a4e9f6f3477369ee75d :: The folks at Westwind Air do it right. Top notch service. We were greeted with smiling professional people. Snacks and beverages all ready for us. Our pilot ( Doug) was fantastic. ...
people,people（名词/物理实体）,Stage 1 (500 Discovery),1548,1355,"review_9698a96c9c141be49b012144 :: Absolutely blown away with this experience, everything was perfect form the flight to the hummer tour. We felt safe, and informed about the GC. The time flying in the canyon was am..."
mountain,雪山 / 山脉,Stage 1 (500 Discovery),1531,1226,review_1b882aa7c72201a6725b9fe7 :: We booked the 30 minute ride but decided to go on the longer one once there. Worth. Every. Penny!  You fly so close to the Moose Teeth mountain that you feel like you can touch it....
service,service（名词/物理实体）,Stage 1 (500 Discovery),1494,1342,review_ed818a4e9f6f3477369ee75d :: The folks at Westwind Air do it right. Top notch service. We were greeted with smiling professional people. Snacks and beverages all ready for us. Our pilot ( Doug) was fantastic. ...
thank,thank（过程/动作动词）,Stage 1 (500 Discovery),1476,1381,review_ed818a4e9f6f3477369ee75d :: The folks at Westwind Air do it right. Top notch service. We were greeted with smiling professional people. Snacks and beverages all ready for us. Our pilot ( Doug) was fantastic. ...
wife,妻子,Stage 1 (500 Discovery),1465,1227,"review_8edb6b136dc2a365d2ceec0b :: This was my anniversary gift for my wife and it exceeded every expectation. The staff, pilots and our tour guide on the ground (different company by Westwind coordinates for you) w..."
absolutely,absolutely（副词/程度词）,Stage 1 (500 Discovery),1450,1373,review_82015a44043c500a6de0931c :: Great way to see the Grand Canyon and get there quickly from the Phoenix area. From our communication before the tour with Lindsey to our Flight there and back with pilot Brendon a...
hour,小时,Stage 1 (500 Discovery),1441,1270,"review_0b3d9e46d4144a6c146dd89f :: We had a such a great day at the Grand Canyon! A full day…in the air and a 3 hour tour in the Wildbuck Hummer, 45 mins in the little town before we flew back to Phoenix. Our tour g..."
highlight,highlight（名词/物理实体）,Stage 1 (500 Discovery),1427,1409,"review_ab324eff306941e3251df22d :: Our Grand Canyon Signature Tour - South Rim with Hummer Ground Tour was an absolutely amazing experience, flying over the desert from Phoenix to the Grand Canyon, passing over Sedo..."
husband,丈夫,Stage 1 (500 Discovery),1427,1206,"review_d4861ff7e19204212047a81e :: This is a must go trip! The experience was top-notch. You will never experience the views of the Grand Canyon or Sedona without a aerial trip. Carla our captain, experience not onl..."
make,make（名词/物理实体）,Stage 1 (500 Discovery),1425,1289,"review_8112d0e93d02e5220c82a676 :: Evidently, the view is amazing, but it's the friendliness and top notch customer service that stands out. Pearl is amazing! The whole team go the extra mile to make sure your exper..."
seat,座位 / 客舱座位,Stage 1 (500 Discovery),1387,1122,"review_5b214f13092466c89c4401ef :: The aerial tour of Sedona, Flagstaff and, of course, the Grand Canyon was fabulous. This was further enhanced by the south rim Hummer tour. This was all followed up with a bonus, d..."
pictures,pictures（名词/物理实体）,Stage 1 (500 Discovery),1372,1217,review_b562aa1c118a8a327cc24d3b :: This was by far one of the best tours I have ever been on. The experience was great from start to finish. Westwind was great to work with and Brandon took excellent care of us in t...
whole,whole（名词/物理实体）,Stage 1 (500 Discovery),1345,1237,"review_d4861ff7e19204212047a81e :: This is a must go trip! The experience was top-notch. You will never experience the views of the Grand Canyon or Sedona without a aerial trip. Carla our captain, experience not onl..."
taking,taking（名词/物理实体）,Stage 1 (500 Discovery),1344,1255,review_106dc23da845ce9e90ce924e :: This is the third time I have taken this trip and it never ceases to amaze. You cannot appreciate the Grand Canyon from just seeing pictures and flying over and through. It gives a...
feel,feel（名词/物理实体）,Stage 1 (500 Discovery),1343,1256,"review_c3e4bc54584b39606bbd4cfa :: This was a phenomenal experience! Well worth the cost of the trip. When we checked in we were met by extremely friendly staff. Carla, our pilot, was absolutely terrific. Very infor..."
entire,entire（名词/物理实体）,Stage 1 (500 Discovery),1334,1230,review_041f3eeb1ec14149ff9914b0 :: This was a last-minute reservation which was a great adventure. A one of a kind type of tour that was worth every single penny. Everyone had a great view from the plane and a great...
lifetime,lifetime（名词/物理实体）,Stage 1 (500 Discovery),1322,1284,review_348b4aff02fdf2a7c1edf068 :: We had a once in a lifetime experience on Westwind's Signature Grand Canyon South and Ground Tour. I have a terrible fear of flying but I was desperate to be able to do this tour. ...
land,land（名词/物理实体）,Stage 1 (500 Discovery),1316,1167,review_c20c8b41bb822484a376265e :: A fantastic trip with views you will never get to see from the ground. Then when you do land at Grand Canyon Village and take the Humvee part of the tour you will be blown away aga...
scenery,scenery（名词/物理实体）,Stage 1 (500 Discovery),1264,1209,"review_aa1ae3139fbb554b26ec2c15 :: This trip was totally worth it. Everyone at Westwinds was friendly. The narrated flight was informative. The scenery was beautiful. The convenience from Phoenix was awesome. 

The ..."
lot,lot（名词/物理实体）,Stage 1 (500 Discovery),1257,1154,review_b562aa1c118a8a327cc24d3b :: This was by far one of the best tours I have ever been on. The experience was great from start to finish. Westwind was great to work with and Brandon took excellent care of us in t...
anyone,anyone（中性词）,Stage 1 (500 Discovery),1228,1196,review_b562aa1c118a8a327cc24d3b :: This was by far one of the best tours I have ever been on. The experience was great from start to finish. Westwind was great to work with and Brandon took excellent care of us in t...
ever,ever（副词/程度词）,Stage 1 (500 Discovery),1220,1149,review_b562aa1c118a8a327cc24d3b :: This was by far one of the best tours I have ever been on. The experience was great from start to finish. Westwind was great to work with and Brandon took excellent care of us in t...
thanks,致谢 / 感谢（社交客套）,Stage 1 (500 Discovery),1209,1158,"review_ab324eff306941e3251df22d :: Our Grand Canyon Signature Tour - South Rim with Hummer Ground Tour was an absolutely amazing experience, flying over the desert from Phoenix to the Grand Canyon, passing over Sedo..."
enough,enough（名词/物理实体）,Stage 1 (500 Discovery),1208,1123,"review_ab324eff306941e3251df22d :: Our Grand Canyon Signature Tour - South Rim with Hummer Ground Tour was an absolutely amazing experience, flying over the desert from Phoenix to the Grand Canyon, passing over Sedo..."
tours,tours（名词/物理实体）,Stage 1 (500 Discovery),1182,1030,review_b562aa1c118a8a327cc24d3b :: This was by far one of the best tours I have ever been on. The experience was great from start to finish. Westwind was great to work with and Brandon took excellent care of us in t...
money,费用 / 资金,Stage 1 (500 Discovery),1172,1096,"review_e39ae53242a90ee1ab63e2a4 :: All I can say is WOW. This was truly a once in a lifetime experience. Our pilot, Carla, was so knowledgeable and amazing. I can’t recommend this tour enough and I felt like my mone..."
right,right（名词/物理实体）,Stage 1 (500 Discovery),1160,1003,review_ed818a4e9f6f3477369ee75d :: The folks at Westwind Air do it right. Top notch service. We were greeted with smiling professional people. Snacks and beverages all ready for us. Our pilot ( Doug) was fantastic. ...
things,things（名词/物理实体）,Stage 1 (500 Discovery),1149,1044,review_348b4aff02fdf2a7c1edf068 :: We had a once in a lifetime experience on Westwind's Signature Grand Canyon South and Ground Tour. I have a terrible fear of flying but I was desperate to be able to do this tour. ...
clear,clear（名词/物理实体）,Stage 1 (500 Discovery),1143,1064,"review_6547e92113e25bfa449a9d82 :: All communication with West Winds was clear and timely.  Wyatt and Rob, our pilots were top notch, fun, informative and friendly.  We highly recommend this company!..."
sights,sights（名词/物理实体）,Stage 1 (500 Discovery),1126,1030,"review_c93167ce3ad55172293950ff :: We did the Grand Canyon air tour with the South Rim hummer tour.  It was all incredible!  Our pilot was great, and there was an audio going the whole flight explaining about all of..."
coast,海岸 / 海岸线,Stage 1 (500 Discovery),1114,982,"review_f4c16e81a92fad2f64566f60 :: The flight itself is really spectacular if the weather is with you. We enjoyed walking along the coast at sunset.
Things to improve: a nominative welcome. There you wait and at the..."
landed,landed（过程/动作动词）,Stage 1 (500 Discovery),1097,1046,"review_ab324eff306941e3251df22d :: Our Grand Canyon Signature Tour - South Rim with Hummer Ground Tour was an absolutely amazing experience, flying over the desert from Phoenix to the Grand Canyon, passing over Sedo..."
job,job（名词/物理实体）,Stage 1 (500 Discovery),1091,1043,"review_8edb6b136dc2a365d2ceec0b :: This was my anniversary gift for my wife and it exceeded every expectation. The staff, pilots and our tour guide on the ground (different company by Westwind coordinates for you) w..."
going,going（名词/物理实体）,Stage 1 (500 Discovery),1089,995,review_0feea62cebd439414c25d6fc :: My wife and I decided to spend Valentine’s Day in Sedona and booked an air tour of the Grand Canyon. I booked it over the phone with Lindsey whom seems to be the manager. She lead ...
next,next（客观属性词）,Stage 1 (500 Discovery),1088,969,review_ed818a4e9f6f3477369ee75d :: The folks at Westwind Air do it right. Top notch service. We were greeted with smiling professional people. Snacks and beverages all ready for us. Our pilot ( Doug) was fantastic. ...
information,information（名词/物理实体）,Stage 1 (500 Discovery),1080,1023,"review_d4861ff7e19204212047a81e :: This is a must go trip! The experience was top-notch. You will never experience the views of the Grand Canyon or Sedona without a aerial trip. Carla our captain, experience not onl..."
provided,provided（过程/动作动词）,Stage 1 (500 Discovery),1079,974,"review_58ba87f9326f017e0b3399ae :: I hate to write a review in the midst of COVID for a small business, but unfortunately due to our experience I’m writing this in hopes that nobody else has the same experience. We ..."
different,different（客观属性词）,Stage 1 (500 Discovery),1060,968,"review_8edb6b136dc2a365d2ceec0b :: This was my anniversary gift for my wife and it exceeded every expectation. The staff, pilots and our tour guide on the ground (different company by Westwind coordinates for you) w..."
minute,分钟,Stage 1 (500 Discovery),1058,969,review_041f3eeb1ec14149ff9914b0 :: This was a last-minute reservation which was a great adventure. A one of a kind type of tour that was worth every single penny. Everyone had a great view from the plane and a great...
photos,photos（名词/物理实体）,Stage 1 (500 Discovery),1056,939,"review_ab324eff306941e3251df22d :: Our Grand Canyon Signature Tour - South Rim with Hummer Ground Tour was an absolutely amazing experience, flying over the desert from Phoenix to the Grand Canyon, passing over Sedo..."
due,due（名词/物理实体）,Stage 1 (500 Discovery),1048,937,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
history,history（名词/物理实体）,Stage 1 (500 Discovery),1046,1011,review_b562aa1c118a8a327cc24d3b :: This was by far one of the best tours I have ever been on. The experience was great from start to finish. Westwind was great to work with and Brandon took excellent care of us in t...
adventure,adventure（名词/物理实体）,Stage 1 (500 Discovery),1042,964,review_041f3eeb1ec14149ff9914b0 :: This was a last-minute reservation which was a great adventure. A one of a kind type of tour that was worth every single penny. Everyone had a great view from the plane and a great...
minutes,分钟数,Stage 1 (500 Discovery),1035,856,"review_78180e3e09bc82b368190d18 :: We did the Grand Canyon Signature tour from Sedona.  Our pilot was Max, and he was excellent.  We spent 30 minutes flying over the Grand Canyon, and then had a three hour Jeep tour..."
close,close（名词/物理实体）,Stage 1 (500 Discovery),1034,964,review_0feea62cebd439414c25d6fc :: My wife and I decided to spend Valentine’s Day in Sedona and booked an air tour of the Grand Canyon. I booked it over the phone with Lindsey whom seems to be the manager. She lead ...
super,super（名词/物理实体）,Stage 1 (500 Discovery),1033,930,"review_aa1ae3139fbb554b26ec2c15 :: This trip was totally worth it. Everyone at Westwinds was friendly. The narrated flight was informative. The scenery was beautiful. The convenience from Phoenix was awesome. 

The ..."
price,价格 / 团费,Stage 1 (500 Discovery),1032,966,review_82015a44043c500a6de0931c :: Great way to see the Grand Canyon and get there quickly from the Phoenix area. From our communication before the tour with Lindsey to our Flight there and back with pilot Brendon a...
glaciers,glaciers（名词/物理实体）,Stage 1 (500 Discovery),1030,915,"review_fcfda8d331fc1195f93e9d00 :: The flight was amazing, over glaciers, between mountain peck’s. The wilderness hike was not in Denali National Park but we still had amazing views of Denali...."
