word,canonical_lemma,chinese_translation,emotion_category,affect_type,stage_origin,frequency_21215,review_count_21215,example_context
awesome,awesome,太棒了 / 极为赞叹的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),2530,2344,"review_08dec3adeedc3666c165bf28 :: Great experience all around, can't beat it for doing a half-day tour! Airport was very convenient, pilot was awesome, and really fantastic views from the plane and at the canyon...."
excellent,excellent,卓越极佳的 / 顶级的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),2284,2065,review_b562aa1c118a8a327cc24d3b :: This was by far one of the best tours I have ever been on. The experience was great from start to finish. Westwind was great to work with and Brandon took excellent care of us in t...
fantastic,fantastic,奇妙太棒的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),2026,1875,"review_ab324eff306941e3251df22d :: Our Grand Canyon Signature Tour - South Rim with Hummer Ground Tour was an absolutely amazing experience, flying over the desert from Phoenix to the Grand Canyon, passing over Sedo..."
informative,informative,引人入胜干货满满的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),1932,1898,"review_0b3d9e46d4144a6c146dd89f :: We had a such a great day at the Grand Canyon! A full day…in the air and a 3 hour tour in the Wildbuck Hummer, 45 mins in the little town before we flew back to Phoenix. Our tour g..."
nice,nice,美好的 / 良好的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),1794,1586,"review_72e4871b346c17114821b344 :: Was an amazing experience. Everyone we dealt with was beyond nice and helpful. Our pilot, Noah, was wonderful and helped ease our nervous children. The overhead views were spectacu..."
fun,fun,乐趣十足的 / 充满乐趣的,Unclassified,E1_E2_Polysemous (State & Appraisal),Stage 1 (500 Discovery),1729,1575,review_b562aa1c118a8a327cc24d3b :: This was by far one of the best tours I have ever been on. The experience was great from start to finish. Westwind was great to work with and Brandon took excellent care of us in t...
safe,safe,安全放心的 / 感到安心平稳,Unclassified,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),1647,1572,"review_9698a96c9c141be49b012144 :: Absolutely blown away with this experience, everything was perfect form the flight to the hummer tour. We felt safe, and informed about the GC. The time flying in the canyon was am..."
spectacular,spectacular,壮观震撼的（高空景观）,Unclassified,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),1616,1566,review_82015a44043c500a6de0931c :: Great way to see the Grand Canyon and get there quickly from the Phoenix area. From our communication before the tour with Lindsey to our Flight there and back with pilot Brendon a...
incredible,incredible,难以置信震撼的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),1612,1508,"review_c93167ce3ad55172293950ff :: We did the Grand Canyon air tour with the South Rim hummer tour.  It was all incredible!  Our pilot was great, and there was an audio going the whole flight explaining about all of..."
better,better,更好的 / 更满意的（超过预期）,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),1585,1431,"review_aa1ae3139fbb554b26ec2c15 :: This trip was totally worth it. Everyone at Westwinds was friendly. The narrated flight was informative. The scenery was beautiful. The convenience from Phoenix was awesome. 

The ..."
enjoyed,enjoyed,享受 / 乐在其中,Unclassified,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),1506,1436,"review_0b3d9e46d4144a6c146dd89f :: We had a such a great day at the Grand Canyon! A full day…in the air and a 3 hour tour in the Wildbuck Hummer, 45 mins in the little town before we flew back to Phoenix. Our tour g..."
perfect,perfect,完美的 / 无瑕的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),1474,1340,"review_9698a96c9c141be49b012144 :: Absolutely blown away with this experience, everything was perfect form the flight to the hummer tour. We felt safe, and informed about the GC. The time flying in the canyon was am..."
loved,loved,喜爱 / 热爱（体验）,Unclassified,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),1473,1365,review_b562aa1c118a8a327cc24d3b :: This was by far one of the best tours I have ever been on. The experience was great from start to finish. Westwind was great to work with and Brandon took excellent care of us in t...
comfortable,comfortable,舒适的 / 安心的,Unclassified,E1_E2_Polysemous (State & Appraisal),Stage 1 (500 Discovery),1446,1372,"review_c3e4bc54584b39606bbd4cfa :: This was a phenomenal experience! Well worth the cost of the trip. When we checked in we were met by extremely friendly staff. Carla, our pilot, was absolutely terrific. Very infor..."
breathtaking,breathtaking,令人屏息震撼的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),1346,1328,"review_54ae3d1a9fed307fe80d18b3 :: Breathtaking experience!!! We do 100% recommend! 
The tour was amazing and the pilot was very friendly...."
helpful,helpful,热心有帮助的 / 周到解说,Unclassified,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),1157,1108,"review_ab324eff306941e3251df22d :: Our Grand Canyon Signature Tour - South Rim with Hummer Ground Tour was an absolutely amazing experience, flying over the desert from Phoenix to the Grand Canyon, passing over Sedo..."
safety,safety,安全保障 / 信任与安心感,Unclassified,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),1050,964,review_fac81d8d0af6198b7ccb6653 :: Our group of 6 recently took the trip from Scottsdale to the South Rim of the Grand Canyon.  We were all very happy with the experience.  It was apparent from the start that safety...
easy,easy,轻松的 / 省心的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),915,847,review_a2b3cf2d16dcbbae8fc45f56 :: This was an experience and way more than imagined!  Such an easy day because Westwind Tours took care of everything. Easy flights thanks to Caden and Carla and an amazing experienc...
interesting,interesting,引人入胜的 / 趣味盎然的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),886,853,"review_ab324eff306941e3251df22d :: Our Grand Canyon Signature Tour - South Rim with Hummer Ground Tour was an absolutely amazing experience, flying over the desert from Phoenix to the Grand Canyon, passing over Sedo..."
cool,cool,酷的 / 爽快的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),652,606,review_fac81d8d0af6198b7ccb6653 :: Our group of 6 recently took the trip from Scottsdale to the South Rim of the Grand Canyon.  We were all very happy with the experience.  It was apparent from the start that safety...
special,special,特别的 / 珍贵的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),631,574,review_4e35a460b4ec2c815f0fb70b :: We had an amazing time with Westwinds.  Carla was an amazing pilot and a joy to spend time with in the air.  Seeing the Canyon from the air was a special experience and unforgettab...
kind,kind,亲切的 / 友善的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),587,565,"review_435119221505b3380abef27c :: My family of three had an amazing experience with Captain Carla on the Signature Tour! My son and I were very nervous, but Captain Carla was so kind and competent. We departed from..."
happy,happy,高兴的 / 快乐的,Unclassified,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),555,522,review_348b4aff02fdf2a7c1edf068 :: We had a once in a lifetime experience on Westwind's Signature Grand Canyon South and Ground Tour. I have a terrible fear of flying but I was desperate to be able to do this tour. ...
stunning,stunning,令人目眩震撼的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),552,546,"review_745b908a04eb2f42741ae626 :: We stayed in Scottsdale for our vacation and took Westwind from the Deer Valley airport only 20 minutes away. Our family of five (kids 13, 10, 3) had never seen the Grand Canyon. F..."
expensive,expensive,昂贵的 / 价格偏高的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),529,512,"review_52347e1e494c72afee91a465 :: My cousin told us that the very best use of our money in Alaska would be on a scenic flight around Mt. McKinley. Even though they are expensive, she told us they are worth every pe..."
nervous,nervous,紧张的 / 焦虑不安的,Unclassified,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),513,486,"review_72e4871b346c17114821b344 :: Was an amazing experience. Everyone we dealt with was beyond nice and helpful. Our pilot, Noah, was wonderful and helped ease our nervous children. The overhead views were spectacu..."
fabulous,fabulous,绝妙的 / 极好的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),508,486,"review_ab324eff306941e3251df22d :: Our Grand Canyon Signature Tour - South Rim with Hummer Ground Tour was an absolutely amazing experience, flying over the desert from Phoenix to the Grand Canyon, passing over Sedo..."
disappointed,disappointed,感到失望的 / 遗憾的,Unclassified,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),488,475,review_92c89d45dafc32430c1381c4 :: Just such an amazing experience...from Lindsey's warm welcome when we arrived to the pilots navigating the journey! I would highly recommend this tour...it is truly a once in a lif...
outstanding,outstanding,杰出出色的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),462,439,"review_8edb6b136dc2a365d2ceec0b :: This was my anniversary gift for my wife and it exceeded every expectation. The staff, pilots and our tour guide on the ground (different company by Westwind coordinates for you) w..."
enjoyable,enjoyable,令人愉快的 / 趣味盎然的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),460,446,review_a0a1ef77bac8870d0a16b7cc :: Great customer service highly recommend it pilot was a great guide the whole time a very enjoyable experience for anyone visiting miami....
unforgettable,unforgettable,令人难忘的 / 铭心的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),459,455,"review_8112d0e93d02e5220c82a676 :: Evidently, the view is amazing, but it's the friendliness and top notch customer service that stands out. Pearl is amazing! The whole team go the extra mile to make sure your exper..."
unique,unique,独一无二的 / 独特的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),435,412,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
gorgeous,gorgeous,极其漂亮的 / 绚丽的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),414,406,"review_435119221505b3380abef27c :: My family of three had an amazing experience with Captain Carla on the Signature Tour! My son and I were very nervous, but Captain Carla was so kind and competent. We departed from..."
scenic,scenic,风景优美的 / 宜人的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),400,363,"review_c93167ce3ad55172293950ff :: We did the Grand Canyon air tour with the South Rim hummer tour.  It was all incredible!  Our pilot was great, and there was an audio going the whole flight explaining about all of..."
bad,bad,糟糕的 / 坏的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),373,342,"review_278b0c04c816a76305f2d62c :: Westwind is unquestionably one of the best experiences I have had in travel.  We were scheduled to fly to the Grand Canyon on December 28th.  On Christmas Eve, we saw that weather ..."
incredibly,incredibly,难以置信地 / 极其,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),315,301,review_9cc699fcb8b3d3fab878cc9f :: I'm conflicted as to how to review Westwind as we had two different planes for our group of 16 family and friends (ages ranging from 25 - 60) who had completely different experienc...
pleasant,pleasant,令人愉快的 / 宜人的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),306,294,"review_f12fde9bd79e32ad4e0ad3da :: Great ! 
It was very nice and the most beautiful journey we have ever taken 
The atmosphere was incredible and the pilot was very pleasant 
I advise everyone to try it..."
awe,awe,敬畏 / 震撼,Unclassified,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),304,303,review_92c89d45dafc32430c1381c4 :: Just such an amazing experience...from Lindsey's warm welcome when we arrived to the pilots navigating the journey! I would highly recommend this tour...it is truly a once in a lif...
unbelievable,unbelievable,难以置信的 / 震撼的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),302,298,"review_dfecc79fa219774441487192 :: Jason, the pilot, was fabulous.  Super smooth flight, & the glacier views were unbelievable.  The guided hike was wonderful.  We spotted a black bear.  Lunch was delicious!..."
funny,funny,幽默风趣的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),301,299,"review_268dc3f955d7431da158e157 :: This is a very good and funny experience! Very customer services ! 
I recommend very well this activity!..."
plenty,plenty,丰富的 / 充足的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),298,280,"review_aa1ae3139fbb554b26ec2c15 :: This trip was totally worth it. Everyone at Westwinds was friendly. The narrated flight was informative. The scenery was beautiful. The convenience from Phoenix was awesome. 

The ..."
hard,hard,困难的 / 艰辛的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),297,285,"review_d885e5c4d3d84166ffc7048f :: Even due to weather, they wont even do a refund or is able to do a voucher for one year. Honestly very upsetting. It was raining really hard and super cloudy and they made no circu..."
magnificent,magnificent,壮丽的 / 宏伟震撼的（Awe）,Unclassified,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),282,272,"review_bcd30ed73ff3b95a1128ad4e :: What a beautiful excursion, Elbert and Jason are real professionals. If you want an experience of a lifetime, don't pass up this opportunity to see the magnificent Alaskan mountain..."
exceptional,exceptional,卓越的 / 杰出的（顶级评价）,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),276,271,"review_ec3e2f83f9281ad77bf33e34 :: From the first interaction on by phone through saying goodbye, everyone involved in this experience was amazing!  Exceptional customer service and a once in a lifetime trip...."
sick,sick,晕机的 / 身体不适的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),274,240,review_637b0b43ea5380f9cc4b150c :: I had a great time on the flight. I was able to ride shotgun both ways since I was a solo traveler. Bryce was very knowledgeable about the area and was super sweet when I got air s...
lovely,lovely,令人愉悦的 / 可爱的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),266,248,"review_d4861ff7e19204212047a81e :: This is a must go trip! The experience was top-notch. You will never experience the views of the Grand Canyon or Sedona without a aerial trip. Carla our captain, experience not onl..."
terrific,terrific,极好的 / 太棒了,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),260,247,"review_c3e4bc54584b39606bbd4cfa :: This was a phenomenal experience! Well worth the cost of the trip. When we checked in we were met by extremely friendly staff. Carla, our pilot, was absolutely terrific. Very infor..."
unfortunately,unfortunately,不幸的是 / 遗憾的是,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),240,230,"review_58ba87f9326f017e0b3399ae :: I hate to write a review in the midst of COVID for a small business, but unfortunately due to our experience I’m writing this in hopes that nobody else has the same experience. We ..."
courteous,courteous,礼貌的 / 谦逊有礼的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),238,236,review_e7b4248221077c7d191beccf :: We recently took a seaplane to and from Seattle Renton to Friday Harbor and it was one of the highlights of a trip to visit the San Juan Islands.  Everything about their operation ...
fortunate,fortunate,幸运的 / 幸运地,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),235,231,review_46e6e8cfb174b9002fc4f5ce :: We were so fortunate to take a tour to the Grand Canyon on our recent trip out to Phoenix.  From the initial booking with Lindsey to our wonderful pilot Daniel and tour guide Jeffr...
efficient,efficient,高效省心的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),215,211,"review_9e2eeecffb6e74720d2860cd :: We happened by this on the way to Talkeetna and pulled in. Due to the immaculate condition of the facilities and grounds, we decided on the spot to book a half hour wildlife viewin..."
welcome,welcome,受欢迎的 / 感受温暖的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),212,208,review_92c89d45dafc32430c1381c4 :: Just such an amazing experience...from Lindsey's warm welcome when we arrived to the pilots navigating the journey! I would highly recommend this tour...it is truly a once in a lif...
entertaining,entertaining,引人入胜生动有趣的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),210,208,review_2cc2081c6f740c887ae3f1af :: I think the best part of our flight was our pilot Leon! So incredibly knowledgeable and entertaining. I truly had the best time. When we landed on the glacier he never rushed us we...
cheaper,cheaper,更实惠的 / 较便宜的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),208,204,review_4054c024c17b512d4bdf9063 :: On two other trips to Alaska I have booked with K2 and had the flights cancelled due to weather.  Please note that this was no problem for me.  They are not going to fly if it is u...
phenomenal,phenomenal,现象级震撼的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),200,198,"review_c3e4bc54584b39606bbd4cfa :: This was a phenomenal experience! Well worth the cost of the trip. When we checked in we were met by extremely friendly staff. Carla, our pilot, was absolutely terrific. Very infor..."
superb,superb,极好精湛的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),196,189,review_ac286b6c23e35ea9aba46f6a :: Fantastic service - Leslie in the office is an absolute treasure and our pilot was very professional and obliging. Superb views of the canyon - felt very safe & comfortable. Other ...
surprised,surprised,感到惊喜惊讶的,Unclassified,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),196,194,"review_58ba87f9326f017e0b3399ae :: I hate to write a review in the midst of COVID for a small business, but unfortunately due to our experience I’m writing this in hopes that nobody else has the same experience. We ..."
surprise,surprise,惊喜 / 意料之外的喜悦,Unclassified,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),195,181,"review_745b908a04eb2f42741ae626 :: We stayed in Scottsdale for our vacation and took Westwind from the Deer Valley airport only 20 minutes away. Our family of five (kids 13, 10, 3) had never seen the Grand Canyon. F..."
fine,fine,良好的 / 优秀的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),190,174,"review_0e8b415ed6e60f63a677db4d :: This was not a bad experience - but it was a little pricey for what you get.

The hotel pick up was fine. The driver was late. I called - repeatedly. Nobody answered. I was worried..."
brilliant,brilliant,璀璨的 / 出色的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),184,169,review_5d85427f1f8e53f13fafbcf4 :: We drove past Alaska Bush Plane on our way down to Talkeetna so came across them purely by chance as opposed to researching them first which is what we usually do but what a find t...
forward,forward,期待（look forward）,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),183,178,"review_74ff54ac960571d307571620 :: We did a family trip into a great spot in the Talkeetnas. I had flown once before with Elbert for work and had felt really safe with him. That is really important to me, even more ..."
reasonable,reasonable,合理的 / 公道的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),179,179,review_e79ad6d1d62ebadf6050b8f0 :: Great trip and all service was well taken care of. Plane views were great and price was extremely reasonable...
ready,ready,准备就绪的 / 心安的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),171,168,review_ed818a4e9f6f3477369ee75d :: The folks at Westwind Air do it right. Top notch service. We were greeted with smiling professional people. Snacks and beverages all ready for us. Our pilot ( Doug) was fantastic. ...
excited,excited,兴奋的 / 激动的,Unclassified,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),167,160,"review_d9f26eb9528467b776102553 :: When we got there it was sort of confusing on where to go but we were able to find it eventually. We were excited for the tour but as we got in the plane, it was a bit small uncomf..."
majestic,majestic,雄伟的 / 壮丽的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),165,165,"review_b5a54095bec550ba7f2ec524 :: We called into the Alaska Bush Float plane office on the off chance that we could take a scenic flight, luck was with us because a pilot was on the spot and in no time we were up, ..."
competent,competent,称职的 / 有能力的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),163,163,"review_435119221505b3380abef27c :: My family of three had an amazing experience with Captain Carla on the Signature Tour! My son and I were very nervous, but Captain Carla was so kind and competent. We departed from..."
quiet,quiet,宁静的 / 幽雅安静的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),161,159,"review_a411dcbbd240b16f9e91d21b :: We had an amazing day with Westwind Air Services.  We loved Phoenix, found it quiet and peaceful and also clean.
We were collected from our hotel and the day was wonderful from tha..."
relaxed,relaxed,放松的 / 从容的,Unclassified,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),159,158,"review_c7e6af06a116fe685858b33c :: We took the flight over the Grand Canyon to test out a developing air anti collision app . I was a nervous passenger however, I had nothing to worry about thanks to our pilot Ken. ..."
perfectly,perfectly,完美地 / 无可挑剔地,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),155,149,review_46e6e8cfb174b9002fc4f5ce :: We were so fortunate to take a tour to the Grand Canyon on our recent trip out to Phoenix.  From the initial booking with Lindsey to our wonderful pilot Daniel and tour guide Jeffr...
interested,interested,感兴趣的 / 充满好奇的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),153,146,"review_3329636e3ef62ffb8c289845 :: I really liked it, beautiful views and a professional pilot Giovanni, I recommend it to everyone who is interested in seeing Miami from above..."
pleasure,pleasure,乐趣 / 愉悦,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),153,149,"review_5b214f13092466c89c4401ef :: The aerial tour of Sedona, Flagstaff and, of course, the Grand Canyon was fabulous. This was further enhanced by the south rim Hummer tour. This was all followed up with a bonus, d..."
magical,magical,神奇的 / 魔幻般的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),152,149,review_eac453440577e5d7895dd806 :: This is a must during a trip to the Seattle area.  The operation and staff is excellent and very professional.  You cannot beat the view and it's amazing what you see just a few sh...
patient,patient,耐心的 / 体贴的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),151,145,review_ed818a4e9f6f3477369ee75d :: The folks at Westwind Air do it right. Top notch service. We were greeted with smiling professional people. Snacks and beverages all ready for us. Our pilot ( Doug) was fantastic. ...
afraid,afraid,害怕的 / 恐惧的,Unclassified,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),150,141,review_d72411de8fd698a132048a5c :: I took my Husband John on the Adventure Tour to the Grand Canyon and it was absolutely AMAZING!  LINDSEY was so GREAT and answered all my questions and she also has a big heart. I ...
worried,worried,感到担心的,Unclassified,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),149,146,review_3905519a1dd7aacea307ddb2 :: My family and I decided to take the longer Denali Flightseeing tour after many phone calls with Alaska Bush Floatplane's office staff. I spoke to both Molly and Nancy on different ...
fully,fully,完全地 / 充分地,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),143,137,"review_fb444b09ca144f104f98424a :: Loved my ride with Northwest Seaplanes! 

Check-in was easy, hangar staff was friendly and promptly answered any questions I had regarding the planes. Drinks along with merchandise..."
smoother,smoother,更平稳的 / 更顺畅的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),143,143,review_348b4aff02fdf2a7c1edf068 :: We had a once in a lifetime experience on Westwind's Signature Grand Canyon South and Ground Tour. I have a terrible fear of flying but I was desperate to be able to do this tour. ...
flexible,flexible,灵活的 / 弹性的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),141,135,review_3cc48b0165abd3d8a47b5339 :: My son wanted to experience a float plane and a remote lake landing.  Alaska Bush Float Plane Service was just down the road from Talkeetna Alaskan Lodge.  They did not require any...
pricey,pricey,昂贵的 / 偏贵的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),139,138,"review_e86e15733f9ad0692fcab84c :: We had a great time on this tour,  the airplane ride up included a quick fly by Sedona,  great 1/2 hour tour of the Grand Canyon,  then enjoyed the 3 hour Pink Jeep Tour that allow..."
wrong,wrong,出差错的 / 错误的（负面体验）,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),137,132,review_823604ab09fa18aaa869f215 :: We accidentally booked our flight on the wrong day but the the pilot Diego and owner Mahamoud helped...
cheap,cheap,便宜的 / 廉价的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),134,132,"review_cfbf25a0b1a3bc09ef2b51e5 :: Michelle took good care of the three of us!  I'm an aviation expert with decades of engineering and mechanical, as well as airlines experience.  This team is bar none the best!  Al..."
blessed,blessed,感到有福的 / 幸运的,Unclassified,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),133,131,review_018ef245f3a270806d36f185 :: We were blessed with a break in the weather and blue skies. Unfortunately the haze in the high elevation did not allow for us to see Denali but otherwise the views were breathtakin...
pleased,pleased,感到满意的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),132,129,review_ac286b6c23e35ea9aba46f6a :: Fantastic service - Leslie in the office is an absolute treasure and our pilot was very professional and obliging. Superb views of the canyon - felt very safe & comfortable. Other ...
safely,safely,安全平稳地,Unclassified,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),132,129,"review_839e0560238a0af9aac3153f :: I am a terrible flier. As in PETRIFIED.  Somehow, though, this clean, well kept little dock caught my eye as my husband and I drove into Talkeetna for one overnight. Despite my fea..."
exactly,exactly,精准地 / 正是,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),130,126,review_666e1f42eced3751f3747622 :: 5STARS ALL THE WAY: once in a lifetime moment! OK but so this is really a response to another  4 star review that honestly I had a problem with reading because everyone is such a c...
impressive,impressive,令人印象深刻的,Unclassified,E1_E2_Candidate,Stage 1 (500 Discovery),130,129,"review_be6ad7ad8d01cad408067c00 :: We saved driving 2 hours to Anacortes plus another hour ferry ride to go from Seattle to Friday Harbor.  Since we went only for the day, the seaplane was the best, most scenic and ..."
